"idnum","obs","distance","avgdirection","avgthrust"
"48085030202",988,22.7972002759465,4.33516351169647,2.54426792639244
"48085031100",3773,21.3956448423389,3.57834353320665,2.61248994887041
"48085031706",1050,9.64575039108865,4.74810635291762,0.474807299270337
"48085031709",2327,10.0573953825339,4.25653972157256,0.603504227298488
"48097001100",1901,14.3831474102631,5.05459753689551,3.16852486404092
"48113008200",1943,10.4354291261589,2.74135029052685,0.696052499497941
"48113009804",1197,10.2709181111006,0.886672311563681,0.0811792900651967
"48113011103",1529,13.3955401876733,1.94455931723936,0.990767048821326
"48113011602",1933,15.9356942819587,2.23718230487476,1.38837167519271
"48113012211",1536,11.8698575365683,2.51889936671926,0.884849916381685
"48113012302",2460,12.2234714795155,2.59866150419886,0.90513369182884
"48113012400",2414,11.2299205855764,2.61740730655793,0.870096109883693
"48113012900",2387,10.1617566076797,2.8037452978384,0.669384932502334
"48113017304",3978,16.4777469655018,2.61392875334376,1.76751484263446
"48113019025",2508,12.6365031834025,3.38744515986943,1.15522373987256
"48121021408",3462,15.9498503130116,5.16808399766204,1.51737261260554
"48121021513",1892,14.5957825122183,5.19784533707682,1.16717643418389
"48121021621",2124,10.8623024485602,5.09631227158197,0.411100833210726
"48121021622",2996,11.2497045066291,5.10344427410068,0.516218266299094
"48147950402",1648,13.7794957926901,4.06153123976936,1.97947647615873
"48181000902",1972,11.9363657391048,4.42491745063076,3.24376862331044
"48213950100",1757,14.1028378288301,0.195870814454425,1.16379034864966
"48213950300",1588,14.3110770323959,0.663514121235754,1.01018039837179
"48213950400",1014,15.1528181926362,0.0847301578575873,1.40836854580534
"48213950500",547,18.2344878924813,5.92484684619585,1.01138274062321
"48213950800",733,19.5058576976143,1.33742304100832,1.04575184640719
"48213951200",1432,11.7596641064609,0.479179561716179,0.817910080608156
"48213951300",1652,11.5666286684863,0.770978720938739,0.854557388574475
"48213951400",1583,19.3536711047004,0.502933478391999,1.08866834026918
"48217960900",655,17.9136444178219,1.23135597617587,1.58462930701369
"48251130302",1867,17.9760774036269,1.05392506870893,2.50473330224102
"48251130409",2239,20.3198102732843,1.41186605938962,2.30322107796094
"48251131000",1845,18.9962492493156,1.1719338868163,2.6829330880481
"48251131100",1881,17.5821566894589,1.19710388834829,2.65840793978815
"48257050203",4133,22.5702622732237,2.62536604879688,2.20882648811516
"48257050205",3181,19.321393814603,2.92323160813638,1.96576809339553
"48349970200",1847,15.5999215447642,2.13837128464468,2.50781360065888
"48367140501",2602,22.6555293378656,5.96362925837571,3.16836049466946
"48379950200",812,19.5923844339769,3.21952208582866,0.987915346428322
"48397040200",2766,17.6994569896678,3.44289000961715,1.84309267533317
"48439102302",2093,14.7830452723079,0.316684565922458,1.68664423094525
"48439104505",1273,12.3476454361732,0.664131434492714,0.987645565948002
"48439111516",3031,13.4280180648187,1.28757899448264,1.03129930112839
"48439111531",2322,13.3790468695898,0.933853781920282,1.031870551709
"48439113113",2428,10.8020678560447,4.99470965163438,0.0831634261940324
"48439113405",2814,12.877115808978,0.188213684174813,0.873130138668499
"48439114007",6429,15.0769923994862,6.07101140139171,1.7843238962077
"48467950200",862,14.4073785396708,5.06906985462883,1.15141332837342
"48113018124",7934,16.1502667629418,3.39826707497143,1.94166473895491
"48085030514",3245,16.4056149251308,4.0571649047823,1.62709303279483
"48085030528",3895,16.3818476835369,4.20542396828844,1.64013235849087
"48085030530",2904,17.1743565514229,4.16991717565421,1.66601260518146
"48085031311",5237,15.0433990058851,3.4604651465368,1.67362672168346
"48085031630",2167,12.4871297911327,4.16326341296296,1.19928823122885
"48085031647",1572,10.1453060579209,4.93577416614848,0.609983734822715
"48085031656",1378,10.5736742974254,4.9089858714454,0.893902551893269
"48085031664",1817,11.2985973261815,4.49122320558079,0.965583185337945
"48085031712",3216,9.92542250360508,5.05114834982438,0.53057886570888
"48085032012",1860,12.3749235127787,3.82426792502849,1.1113775902524
"48097000100",1718,17.9872012779035,4.96645222251086,3.12847600328197
"48113009101",2004,12.6426675039849,2.3053526248412,1.04028955808042
"48113009202",1798,14.2785223902501,2.28129473642361,1.19657249162859
"48113009304",1714,14.2540831678604,2.17989183886957,1.19618829533577
