"GEOID","pop","landArea","popDens","pop1000","popDens1000","logPopDens","pct100","pct149","pct150","pluWht","pluBlk","pluAsn","pluHisp","loginc","pctOwn","pctRent","meanHHsz","housAge","logHousVal","thouHousVal","medianRent","logMedianRent"
"48085030100",6469,123.427686038151,52.4112555913951,6.469,0.0524112555913951,3.95912136962299,3.3086941217881,3.37909186906019,93.3122140091517,1,0,0,0,10.2969138170325,86.3247863247863,13.6752136752137,"3.07",24,11.9891596439666,161,1014,6.92165818415113
"48085030201",3171,35.211678937204,90.0553479899415,3.171,0.0900553479899415,4.50042445897501,5.04774897680764,5.45702592087312,89.4952251023192,1,0,0,0,10.5886277626942,77.9453345900094,22.0546654099906,"2.97",23,12.2399908637336,206.9,1013,6.92067150424868
"48085030202",2291,58.4054851984912,39.2257677890018,2.291,0.0392257677890018,3.66933387239826,0.392927308447937,2.55402750491159,97.0530451866405,1,0,0,0,10.5136606498028,86.6825208085612,13.3174791914388,"2.72",25,12.4114594752551,245.6,876,6.77536609093639
"48085030203",17677,37.801135117856,467.631459872483,17.677,0.467631459872483,6.14768050678831,2.36220472440945,0.990217131949416,96.6475781436411,1,0,0,0,10.5818509901033,80.1661849710983,19.8338150289017,"3.19",13,12.0233510087149,166.6,1411,7.25205395185281
"48085030301",5667,8.9972260525532,629.860800084248,5.667,0.629860800084248,6.44549884272481,4.29302875147696,0.94525403702245,94.7617172115006,1,0,0,0,10.8525745588254,87.3074880509825,12.6925119490175,"3.01",8,12.3846371534464,239.1,1818,7.50549227473742
"48085030302",3037,5.905956317481,514.226627618427,3.037,0.514226627618427,6.24266407804649,2.79878971255673,0.832072617246596,96.3691376701967,1,0,0,0,11.2966209738788,97.5141242937853,2.48587570621469,"3.43",12,13.0138869010682,448.6,NA,NA
"48085030303",7308,3.82592531002,1910.12615454372,7.308,1.91012615454372,7.55492456835883,2.97744360902256,2.76691729323308,94.2556390977444,1,0,0,0,10.7606438017848,69.0476190476191,30.9523809523809,"3.11",11,12.9312028719432,413,1283,7.15695636461564
"48085030304",3733,8.4671177706104,440.882021619842,3.733,0.440882021619842,6.08877731498418,1.16995073891626,4.1871921182266,94.6428571428571,1,0,0,0,10.6140570787879,86.752529898804,13.247470101196,"3.43",15,12.7131914073648,332.1,784,6.66440902035041
"48085030305",10539,83.6833985481648,125.938957820101,10.539,0.125938957820101,4.83579732781674,4.25839047275352,1.02850956333454,94.7130999639119,1,0,0,0,10.6125572936399,84.4318181818182,15.5681818181818,"2.96",17,12.5841665568422,291.9,1017,6.92461239604856
"48085030403",6053,1.6661819589602,3632.85652413224,6.053,3.63285652413224,8.19777453904726,4.5120320855615,3.14171122994652,92.346256684492,1,0,0,0,10.3967803710098,82.0640176600442,17.9359823399558,"3.34",24,12.4912515877638,266,1241,7.12367278520461
