"idnum","obs","distance","avgdirection","avgthrust"
"48439110301",376,12.1921719145038,0.292260200651091,1.05001084402758
"48439113511",403,10.8811656740337,0.520440317160489,0.389224268915131
"48439113519",547,12.0359573997814,5.54049815901461,0.373279630347686
"48439113623",342,11.0784198938231,5.76883329268702,0.430349902872349
"48439113626",370,10.7612453180447,6.07798307261833,0.567610554303916
"48439113633",330,11.3754690249747,5.79910828379555,0.602593621527553
"48439113811",378,12.7017979807421,6.14848344879527,0.886534928375011
"48439114104",591,21.3319506569948,5.7966393120621,2.26526184319192
"48439122600",450,10.977521863644,0.732123997601154,0.882726586394234
"48497150401",334,17.0028006749775,5.41648494198533,2.86292057335254
"48085030408",666,13.2749224966275,4.7286296403422,1.19937036928624
"48085031409",965,13.0406375962492,3.84872856042073,1.2458941737909
"48085031633",407,11.2427140869771,4.1338788134174,0.998090074228831
"48085031718",238,10.5621661392251,4.28883021018153,0.63755435112089
"48085031807",421,10.2253138510747,3.89956645986269,0.651286456156343
"48113000406",643,8.02492516662648,0.883783572277125,0.240795372337399
"48113000500",407,9.08243246569948,1.68243294407371,0.577035082897628
"48113000606",202,9.26607893017432,2.16337031875941,0.614589335669132
"48113001101",289,7.72175855711269,2.48306801206188,0.608085576983102
"48113004700",261,10.6161965599102,1.92107309488112,0.710629353553562
"48113006402",427,11.3094999949113,1.53374254801556,0.701033423982113
"48113007812",207,10.6941203033734,3.29018311549386,0.642891931510647
"48113007815",509,9.43138248729923,3.06703388740179,0.538092998014489
"48113008801",319,13.9595255962353,1.91068019656223,1.02156128980529
"48113011500",329,13.1052865622537,2.18580238544799,1.048060287114
"48113011701",546,14.2034707113224,2.2220797893805,1.3121214577627
"48113013400",126,9.56494943039272,3.92613365484124,0.313813606879795
"48113013623",649,9.71123937513779,4.38379391255459,0.352752701115793
"48113013624",317,9.34764396084958,4.38365787604371,0.372204026991213
"48113014115",740,10.3816500188283,0.401336791818855,0.367244433104426
"48113014119",391,9.92395254264428,5.63780636889725,0.591770915570133
"48113014124",342,11.2572127404563,5.63699089852138,0.526500175975223
"48113016410",388,14.5973334831187,1.37917168727299,1.16819591318329
"48113017806",454,11.9637178961989,2.59560594144487,1.00292647404991
"48113018142",383,15.4505743373286,2.88606264216256,1.53984345918921
"48113018403",121,9.43568029885206,2.84233805939716,0.816855840658467
"48113018503",788,10.8348000869518,3.1650477222028,0.722341291622794
"48113019020",510,10.5548449374661,3.36146367683471,0.909309199153473
"48113019302",206,10.585474398755,2.76560987174364,0.737390332397966
"48121020602",1008,16.1639723654898,5.1284657165603,1.94069880682508
"48121021305",384,16.4788483135211,5.23878352679433,1.70030226850004
"48121021615",457,10.4467584528762,4.63688822564905,0.517815184198613
"48121021628",737,11.9947046478036,4.66362580178153,0.680251760362948
"48121021638",394,11.4823481750696,4.70310535506046,0.504169513053829
"48121021722",408,13.1378179649783,5.382516662506,0.984997106235799
"48121021728",287,11.2068499837497,5.50081931127257,0.577921726211228
"48121021733",395,12.0542862274484,5.3722255229604,0.552532733194598
"48181000101",267,15.4102192964519,3.82775462091486,2.10696983042588
"48251130205",369,13.5261979594858,1.05014118185235,1.41260079565333
"48251130700",426,16.7983588589006,1.22247825453318,2.26470915257578
"48439100202",450,13.1710665034305,6.28261701816991,1.24951733796825
"48439105508",630,14.51050866504,0.632326127375646,1.7430388163749
"48439106400",294,14.2135353721911,0.889335268269055,0.904536751417841
"48439110402",447,15.9474584053679,6.22832545598276,1.7334843799952
"48439110907",237,18.0491543456921,0.404256406318583,2.12663281583982
"48439111309",413,16.6547489394044,1.43662224050117,1.5931393948989
"48439111549",626,14.9342193780918,1.64946263374755,1.37971910051761
"48439113301",379,13.2833496620206,0.176489186752498,0.982083102689056
"48439113407",558,12.5741538390916,0.432623037149535,0.63109272218277
"48439113408",503,12.2139797839739,0.365043867500793,0.804518684638321
"48439113510",430,10.2699140837781,4.22769670462476,0.103574941450243
"48439113912",490,13.1529577806852,5.69416330717753,1.09735987283637
"48439122300",509,8.98689665690738,0.961153450491859,0.878892159766912
"48439123500",316,14.1393174134945,0.387664587717502,1.16176334181458
"48113013725",417,9.79140478924577,4.4507353544012,0.430953417137956
"48113013726",228,9.12234535458438,4.87668331305804,0.288271956751449
"48121020401",697,18.185580063357,5.28972925543622,2.26250808006095
"48121021202",464,16.7091837451157,5.13499512582904,1.87424592325405
"48121021505",570,12.9868792736051,5.17910233855203,1.10840376052809
"48085030406",330,11.6780755874117,4.68544273526022,1.08146394507925
"48085030518",227,12.8238559409429,4.57292775321407,1.41957919302431
"48085031613",457,9.76855778098617,3.94436218483565,0.900862696922336
"48085031628",400,11.5182093262764,3.96202814125336,0.988711024607779
"48085031657",148,10.5274834345279,4.58449627060212,0.872670201480328
"48085031660",287,11.9125623935871,4.65483887559895,1.00812465038211
"48113004300",241,9.95577682647785,1.57777951192892,0.5174043135265
"48113006100",368,13.9997494210678,1.78838989285669,0.994637457352672
"48113007804",793,9.66118618311996,3.55342431468217,0.475741836509105
"48113007912",178,9.39801335567063,3.06783879741361,0.426545729121539
"48113008705",178,14.6164259084614,2.05118088578898,1.11812419502694
"48113010903",364,13.96885086709,1.57519449101924,0.966290164646587
"48113011300",594,14.1901639965771,2.0708119481485,1.17944600270681
"48113013009",505,10.6602803031815,3.13005814975369,0.723525625546759
"48113016411",733,16.584234845301,1.52795937098599,1.47001259286666
"48113019027",542,12.5354123223763,3.5480033559357,1.12591546875441
"48113019400",222,9.39241513720526,2.85190922820071,0.473935715746917
"48121021407",582,14.9804343538615,5.29111001261252,1.46508555524523
"48121021520",439,12.9006174356127,4.7049987965851,1.03592791644047
"48121021717",478,13.037696567875,5.23673894991176,1.00175998933229
"48439105006",125,12.9553855882873,6.09730330709677,1.11089085116164
"48439106514",565,12.9060741314754,0.756001922606064,0.733518334125216
"48439110101",588,13.8012310840304,0.0244927884150982,1.06405378011415
"48439110806",422,16.9139741919169,0.0729675696283467,1.98890956532122
"48439111514",715,12.4945067748942,1.52122608839256,0.866964216313356
"48439113217",414,12.18693946085,6.04305265226475,0.778535303695567
"48439113916",464,15.6444328286244,5.96465212378272,1.17937354123883
"48439113929",791,15.3249478529683,5.72212483329972,1.37119969057971
"48439123100",338,12.8583173192065,0.278378155498853,1.17916698256085
"48439104702",232,14.2270525511576,0.807128364743138,1.34710908591569
