"GEOID","pop","landArea","popDens","pop1000","popDens1000","logPopDens","pct100","pct149","pct150","universe","white","black","asian","hispuniverse","hisp","pctWht","pctBlk","pctAsn","pctHisp","pluWht","pluBlk","pluAsn","pluHisp","loginc","pctOwn","meanHHsz","medAge","logHousVal","thouHousVal","estimate"
"48085030100",6469,123.427686038151,52.4112555913951,6.469,0.0524112555913951,3.95912136962299,3.3086941217881,3.37909186906019,93.3122140091517,6469,6241,73,29,6469,460,0.964754985314577,0.011284588035245,0.00448291853454939,0.0711083629618179,1,0,0,0,10.2969138170325,86.3247863247863,"3.07",24,11.9891596439666,161,1014
"48085030201",3171,35.211678937204,90.0553479899415,3.171,0.0900553479899415,4.50042445897501,5.04774897680764,5.45702592087312,89.4952251023192,3171,3032,100,27,3171,685,0.956165247555976,0.0315357931251971,0.00851466414380322,0.2160201829076,1,0,0,0,10.5886277626942,77.9453345900094,"2.97",23,12.2399908637336,206.9,1013
"48085030202",2291,58.4054851984912,39.2257677890018,2.291,0.0392257677890018,3.66933387239826,0.392927308447937,2.55402750491159,97.0530451866405,2291,2093,24,30,2291,307,0.91357485814055,0.0104757747708424,0.013094718463553,0.134002618943693,1,0,0,0,10.5136606498028,86.6825208085612,"2.72",25,12.4114594752551,245.6,876
"48085030203",17677,37.801135117856,467.631459872483,17.677,0.467631459872483,6.14768050678831,2.36220472440945,0.990217131949416,96.6475781436411,17677,14959,1731,468,17677,2402,0.846240877977032,0.0979238558578944,0.0264750806132262,0.135882785540533,1,0,0,0,10.5818509901033,80.1661849710983,"3.19",13,12.0233510087149,166.6,1411
"48085030301",5667,8.9972260525532,629.860800084248,5.667,0.629860800084248,6.44549884272481,4.29302875147696,0.94525403702245,94.7617172115006,5667,4630,522,242,5667,950,0.817010764072702,0.0921122286924299,0.0427033703899771,0.167637197811893,1,0,0,0,10.8525745588254,87.3074880509825,"3.01",8,12.3846371534464,239.1,1818
"48085030302",3037,5.905956317481,514.226627618427,3.037,0.514226627618427,6.24266407804649,2.79878971255673,0.832072617246596,96.3691376701967,3037,2725,136,121,3037,162,0.897267039841949,0.0447810339150477,0.0398419492920645,0.0533421139282186,1,0,0,0,11.2966209738788,97.5141242937853,"3.43",12,13.0138869010682,448.6,NA
"48085030303",7308,3.82592531002,1910.12615454372,7.308,1.91012615454372,7.55492456835883,2.97744360902256,2.76691729323308,94.2556390977444,7308,6539,339,277,7308,691,0.894772851669403,0.0463875205254516,0.037903667214012,0.0945539135194308,1,0,0,0,10.7606438017848,69.0476190476191,"3.11",11,12.9312028719432,413,1283
"48085030304",3733,8.4671177706104,440.882021619842,3.733,0.440882021619842,6.08877731498418,1.16995073891626,4.1871921182266,94.6428571428571,3733,3416,165,36,3733,437,0.915081703723547,0.0442003750334851,0.00964371818912403,0.117064023573533,1,0,0,0,10.6140570787879,86.752529898804,"3.43",15,12.7131914073648,332.1,784
"48085030305",10539,83.6833985481648,125.938957820101,10.539,0.125938957820101,4.83579732781674,4.25839047275352,1.02850956333454,94.7130999639119,10539,9617,263,118,10539,1511,0.912515418920201,0.0249549293101812,0.0111965082076098,0.143372236455072,1,0,0,0,10.6125572936399,84.4318181818182,"2.96",17,12.5841665568422,291.9,1017
"48085030403",6053,1.6661819589602,3632.85652413224,6.053,3.63285652413224,8.19777453904726,4.5120320855615,3.14171122994652,92.346256684492,6053,4707,168,367,6053,1455,0.77763092681315,0.0277548323145548,0.0606310920204857,0.240376672724269,1,0,0,0,10.3967803710098,82.0640176600442,"3.34",24,12.4912515877638,266,1241
"48085030404",6002,1.151287262004,5213.29489006293,6.002,5.21329489006293,8.55896735137516,0.969251336898396,1.8048128342246,97.225935828877,6002,3985,605,870,6002,764,0.663945351549484,0.100799733422193,0.144951682772409,0.127290903032323,1,0,0,0,10.7599858162579,89.6519721577726,"2.74",20,12.2258752728264,204,1670
"48085030405",4982,1.0715085088268,4649.51977418716,4.982,4.64951977418716,8.44451921887988,1.82695622199242,2.51637366425371,95.6566701137539,4982,3722,657,264,4982,816,0.747089522280209,0.131874749096748,0.0529907667603372,0.16378964271377,1,0,0,0,10.6648773231923,43.8256658595642,"2.41",21,12.2015624900523,199.1,1162
"48085030406",3650,1.1671568346284,3127.25753018624,3.65,3.12725753018624,8.04791171101784,6.40473627556512,3.82131324004306,89.7739504843918,3650,2499,203,181,3650,1613,0.684657534246575,0.0556164383561644,0.0495890410958904,0.441917808219178,1,0,0,0,10.2016272528867,29.8909090909091,"2.65",23,12.3357842520518,227.7,996
"48085030407",4183,1.2621522616098,3314.18017241821,4.183,3.31418017241821,8.10596556356305,1.33404482390608,2.50800426894344,96.1579509071505,4183,3233,393,410,4183,221,0.772890270141047,0.0939517092995458,0.0980157781496534,0.0528328950513985,1,0,0,0,11.0429218357245,85.6083086053413,"3.10",16,13.2655975454902,577,1791
"48085030408",7095,3.761730027737,1886.10026442228,7.095,1.88610026442228,7.54226662425238,6.28964059196617,10.438689217759,83.2716701902748,7095,5376,224,458,7095,2458,0.757716701902748,0.0315715292459479,0.0645525017618041,0.346441155743481,1,0,0,0,10.4964552172942,39.5978062157221,"2.59",17,12.1662917755183,192.2,1143
"48085030504",3097,2.1785735553538,1421.57238271308,3.097,1.42157238271308,7.2595188497476,1.66270783847981,6.94774346793349,91.3895486935867,3097,2197,386,408,3097,285,0.709396189861156,0.124636745237326,0.131740393929609,0.0920245398773006,1,0,0,0,10.9772776368839,35.2983465132998,"2.23",15,13.4076926842725,665.1,1329
