geoid,threshold,tot_jobs
040130101011000,30,24
040130101011001,30,24
040130101011002,30,1
040130101011003,30,2
040130101011004,30,1
040130101011005,30,24
040130101011006,30,24
040130101011007,30,24
040130101011008,30,24
040130101011009,30,24
040130101011010,30,24
040130101011011,30,24
040130101011012,30,2
040130101011013,30,27
040130101011014,30,24
040130101011015,30,24
040130101011016,30,20
040130101011017,30,24
040130101011018,30,24
040130101011019,30,3
040130101011020,30,3
040130101011021,30,3
040130101011022,30,26
040130101011023,30,12
040130101011024,30,36
040130101011025,30,12
040130101011026,30,17
040130101011027,30,17
040130101011028,30,24
040130101011029,30,20
040130101011030,30,23
040130101011031,30,20
040130101011032,30,17
040130101011033,30,21
040130101011034,30,21
040130101011035,30,23
040130101011036,30,26
040130101011037,30,23
040130101011038,30,23
040130101011039,30,32
040130101011040,30,28
040130101011041,30,28
040130101011042,30,32
040130101011043,30,32
040130101011044,30,11
040130101011045,30,62
040130101011046,30,22
040130101011047,30,23
040130101011048,30,22
040130101011049,30,20
040130101011050,30,29
040130101011051,30,21
040130101011052,30,58
040130101011053,30,20
040130101011054,30,58
040130101011055,30,67
040130101011056,30,67
040130101011057,30,67
040130101011058,30,77
040130101011059,30,73
040130101011060,30,66
040130101011061,30,67
040130101011062,30,66
040130101011063,30,71
040130101011064,30,64
040130101011065,30,67
040130101011066,30,56
040130101011067,30,62
040130101011068,30,59
040130101011069,30,59
040130101011070,30,81
040130101011071,30,56
040130101011072,30,82
040130101011073,30,67
040130101011074,30,68
040130101011075,30,68
040130101011076,30,62
040130101011077,30,58
040130101011078,30,55
040130101011079,30,53
040130101011080,30,68
040130101011081,30,48
040130101011082,30,29
040130101011083,30,11
040130101011084,30,11
040130101011085,30,39
040130101011086,30,40
040130101011087,30,52
040130101011088,30,51
040130101011089,30,54
040130101011090,30,33
040130101011091,30,9
040130101011092,30,21
040130101011093,30,47
040130101011094,30,37
040130101011095,30,45
040130101011096,30,55
040130101011097,30,20
040130101012000,30,0
040130101012001,30,19
040130101012002,30,19
040130101012003,30,21
040130101012004,30,21
040130101012005,30,19
040130101012006,30,19
040130101012007,30,8
040130101012008,30,19
040130101012009,30,8
040130101012010,30,8
040130101012011,30,8
040130101012012,30,8
040130101012013,30,8
040130101012014,30,8
040130101012015,30,8
040130101012016,30,8
040130101012017,30,19
040130101012018,30,19
040130101012019,30,8
040130101012020,30,19
040130101012021,30,19
040130101012022,30,24
040130101012023,30,24
040130101012024,30,17
040130101012025,30,16
040130101012026,30,27
040130101012027,30,10
040130101012028,30,21
040130101012029,30,19
040130101012030,30,8
040130101012031,30,19
040130101012032,30,23
040130101012033,30,10
040130101012034,30,47
040130101012035,30,36
040130101012036,30,36
040130101012037,30,36
040130101012038,30,10
040130101012039,30,10
040130101012040,30,10
040130101012041,30,10
040130101012042,30,36
040130101012043,30,2
040130101012044,30,21
040130101012045,30,21
040130101012046,30,19
040130101012047,30,27
040130101012048,30,10
040130101012049,30,21
040130101012050,30,19
040130101012051,30,19
040130101012052,30,19
040130101012053,30,21
040130101012054,30,17
040130101012055,30,17
040130101012056,30,19
040130101012057,30,19
040130101012058,30,19
040130101012059,30,19
040130101012060,30,19
040130101012061,30,19
040130101012062,30,54
040130101012063,30,17
040130101012064,30,17
040130101012065,30,54
040130101012066,30,54
040130101012067,30,54
040130101012068,30,2
040130101012069,30,10
040130101012070,30,32
040130101012071,30,55
040130101012072,30,13
040130101012073,30,54
040130101012074,30,165
040130101012075,30,54
040130101012076,30,54
040130101012077,30,2
040130101012078,30,2
040130101012079,30,19
040130101012080,30,54
040130101012081,30,307
040130101012082,30,305
040130101012083,30,54
040130101012084,30,305
040130101012085,30,307
040130101012086,30,307
040130101012087,30,252
040130101012088,30,307
040130101012089,30,177
040130101012090,30,4
040130101012091,30,21
040130101012092,30,20
040130101012093,30,20
040130101012094,30,32
040130101012095,30,68
040130101012096,30,52
040130101012097,30,33
040130101012098,30,38
040130101012099,30,38
