geoid,threshold,tot_jobs
220510201011002,30,1181
220510201011003,30,1991
220510201011004,30,3762
220510201011005,30,3131
220510201011006,30,4223
220510201011007,30,4127
220510201011008,30,3896
220510201011009,30,3240
220510201011010,30,3585
220510201011011,30,3666
220510201011012,30,2520
220510201011013,30,3947
220510201011014,30,3922
220510201011015,30,4164
220510201011016,30,4164
220510201011017,30,4118
220510201011018,30,4193
220510201011019,30,3909
220510201011020,30,3909
220510201011021,30,4354
220510201011022,30,4236
220510201011023,30,3909
220510201011024,30,4226
220510201011025,30,4182
220510201011026,30,4406
220510201011027,30,4256
220510201011028,30,4429
220510201011029,30,4639
220510201011030,30,4694
220510201011031,30,4682
220510201011032,30,4762
220510201011033,30,4749
220510201011034,30,4477
220510201011035,30,4617
220510201011036,30,4664
220510201011037,30,4762
220510201011038,30,4619
220510201012000,30,2419
220510201012001,30,2279
220510201012002,30,2152
220510201012003,30,2419
220510201012004,30,2443
220510201012005,30,2311
220510201012006,30,2745
220510201012007,30,3272
220510201012008,30,3272
220510201012009,30,3701
220510201012010,30,3801
220510201012011,30,4737
220510201012012,30,6001
220510201012013,30,5446
220510201012014,30,5608
220510201012015,30,4882
220510201012016,30,4160
220510201012017,30,4705
220510201012018,30,4710
220510201012019,30,2826
220510201012020,30,3052
220510201012021,30,4222
220510201012022,30,4824
220510201012023,30,4890
220510201021001,30,19345
220510201021002,30,0
220510201021003,30,17706
220510201021004,30,17328
220510201021005,30,19339
220510201021006,30,19338
220510201021007,30,19340
220510201021008,30,19924
220510201021009,30,17835
220510201021010,30,17770
220510201021011,30,19187
220510201021012,30,19820
220510201021013,30,19820
220510201021014,30,21372
220510201021015,30,19967
220510201021016,30,19836
220510201021017,30,21888
220510201021018,30,22196
220510201021019,30,22280
220510201021020,30,22196
220510201021021,30,22196
220510201021022,30,21888
220510201021023,30,22782
220510201021024,30,21300
220510201021025,30,21357
220510201021026,30,21206
220510201021027,30,19739
220510201021028,30,18421
220510201021029,30,18421
220510201021030,30,15463
220510201021031,30,21668
220510201021032,30,21944
220510201021033,30,22843
220510201021034,30,22786
220510201021035,30,22593
220510201021036,30,22838
220510201021037,30,23581
220510201021038,30,23627
220510201021039,30,23627
220510201021040,30,23581
220510201021041,30,19798
220510201022001,30,3716
220510201022002,30,8775
220510201022003,30,15259
220510201022004,30,5729
220510201022005,30,4415
220510201022006,30,4718
220510201022007,30,4282
220510201022008,30,5488
220510201022009,30,6143
220510201022010,30,8919
220510201022011,30,9314
220510201022012,30,14543
220510201022013,30,14780
220510201022014,30,16004
220510201022015,30,18343
220510201022016,30,18354
220510201022017,30,10404
220510201022018,30,6896
220510201022019,30,6855
220510201022020,30,5230
220510201022021,30,15840
220510201022022,30,15992
220510201022023,30,14887
220510201023000,30,15527
220510201023001,30,16506
220510201023002,30,18455
220510201023003,30,18452
220510201023004,30,18836
220510201023005,30,19957
220510201023006,30,20188
220510201023007,30,19220
220510201023008,30,18983
220510201023009,30,18983
220510201023010,30,18521
220510201023011,30,18584
220510201023012,30,16506
220510201023013,30,16479
220510201023014,30,15043
220510201023015,30,10859
220510201023016,30,16624
220510201023017,30,11475
220510201023018,30,18521
220510201023019,30,13770
220510201023020,30,14038
220510201023021,30,20232
220510201023022,30,20232
220510201023023,30,21019
220510201023024,30,10668
220510201023025,30,8238
220510201023026,30,10879
220510201023027,30,10884
220510201023028,30,13770
220510202011001,30,8
220510202011002,30,20225
220510202011003,30,20225
220510202011004,30,20385
220510202011005,30,21364
220510202011006,30,21239
220510202011007,30,21239
220510202011008,30,21269
220510202011009,30,21269
220510202011010,30,21570
220510202011011,30,22187
220510202011012,30,22058
220510202011013,30,22858
220510202011014,30,23053
220510202011015,30,22206
220510202011016,30,21459
220510202011017,30,22123
220510202011018,30,22276
220510202011019,30,19834
220510202011020,30,19842
220510202011021,30,19338
220510202011022,30,19866
