geoid,threshold,tot_jobs
550790001011000,30,2855
550790001011001,30,1901
550790001011002,30,1836
550790001011003,30,5116
550790001011004,30,6132
550790001012000,30,11680
550790001012001,30,13627
550790001012002,30,13687
550790001012003,30,7495
550790001012004,30,9316
550790001012005,30,6686
550790001012006,30,10834
550790001012007,30,6716
550790001012008,30,11696
550790001012009,30,14578
550790001013000,30,3842
550790001013001,30,5408
550790001014001,30,8702
550790001014002,30,5805
550790001014004,30,10086
550790001014005,30,9399
550790001014006,30,10154
550790001014007,30,14928
550790001014008,30,14644
550790001014009,30,13890
550790001021000,30,10456
550790001021001,30,9316
550790001021002,30,9382
550790001021003,30,14618
550790001022000,30,5214
550790001022001,30,5020
550790001022002,30,6856
550790001022003,30,5620
550790001022004,30,5347
550790001022005,30,5914
550790001022006,30,9242
550790001022007,30,14096
550790001022008,30,4959
550790001022009,30,6590
550790001022010,30,6680
550790001022011,30,11284
550790001022012,30,7760
550790001022013,30,2292
550790001022014,30,5016
550790001022015,30,4133
550790001022016,30,2294
550790001022017,30,2339
550790001022018,30,2942
550790001022019,30,3192
550790001022020,30,3192
550790001022021,30,3162
550790001022022,30,4235
550790001022023,30,3062
550790001022024,30,2264
550790001022025,30,3279
550790001022026,30,9356
550790001023000,30,8150
550790001023001,30,9455
550790001023002,30,13196
550790001023003,30,7936
550790001023004,30,6735
550790002011000,30,372
550790002011001,30,2744
550790002011002,30,3488
550790002011003,30,1238
550790002011004,30,763
550790002011005,30,607
550790002011006,30,2893
550790002011007,30,2134
550790002011008,30,2684
550790002011009,30,3858
550790002012000,30,20
550790002012001,30,962
550790002012002,30,599
550790002012003,30,1330
550790002012004,30,1830
550790002012005,30,2081
550790002012006,30,2092
550790002012007,30,4377
550790002012008,30,6666
550790002012009,30,8385
550790002012010,30,6061
550790002012011,30,5270
550790002012012,30,6061
550790002012013,30,6107
550790002012014,30,1829
550790002012015,30,2077
550790002012016,30,6667
550790002012017,30,2181
550790002013000,30,10796
550790002013001,30,9839
550790002021000,30,2149
550790002021001,30,2684
550790002021002,30,2657
550790002021003,30,2126
550790002021004,30,2089
550790002021005,30,3306
550790002021006,30,2714
550790002021007,30,2460
550790002021008,30,2324
550790002021009,30,2019
550790002021010,30,2663
550790002021011,30,2629
550790002021012,30,2295
550790002021013,30,2611
550790002021014,30,2508
550790002021015,30,2580
550790002021016,30,2827
550790002021017,30,3287
550790002021018,30,3019
550790002021019,30,2786
550790002021020,30,2859
550790002021021,30,4569
550790002021022,30,4138
550790002021023,30,4809
550790002021024,30,3063
550790002022000,30,7741
550790002022001,30,2230
550790002022002,30,2017
550790002022003,30,2279
550790002022004,30,6455
550790002022005,30,4902
550790002022006,30,3829
550790002022007,30,1023
550790002022008,30,1206
550790002022009,30,995
550790002022010,30,584
550790002022011,30,1742
550790002022012,30,1589
550790002022013,30,993
550790002022014,30,1042
550790002022015,30,1597
550790002022016,30,1426
550790002022017,30,1408
550790002022018,30,3750
550790002023000,30,4958
550790002023001,30,4561
550790002023002,30,7787
550790002023003,30,4257
550790002023004,30,4537
550790002023005,30,2766
550790002023006,30,9356
550790002023007,30,1918
550790002023008,30,2710
550790002023009,30,10164
550790002023010,30,10623
550790002023011,30,11291
550790002023012,30,11231
550790002023013,30,11225
550790002023014,30,9352
550790002023015,30,9372
550790002023016,30,9674
550790002023017,30,9903
550790002023018,30,11467
550790002023019,30,11287
550790002023020,30,10309
550790002023021,30,10383
550790002023022,30,11155
550790002023023,30,9095
550790002023024,30,11153
550790002023025,30,11174
550790002023026,30,10030
550790002023027,30,10303
550790002023028,30,9050
550790002023029,30,5017
550790002023030,30,4724
550790002023031,30,5934
550790002023032,30,9045
550790002023033,30,8852
550790002023034,30,8346
550790002023035,30,12322
550790002023036,30,10219
550790002023037,30,11023
550790002023038,30,9666
550790002023039,30,8544
550790002023040,30,10364
550790002023041,30,10680
550790002023042,30,9485
550790002023043,30,11155
550790002023044,30,440
550790002023045,30,440
550790003011000,30,157
550790003011001,30,150
550790003011002,30,418
550790003011003,30,235
550790003011004,30,309
550790003011006,30,1364
550790003011007,30,1010
550790003011008,30,989
550790003011009,30,5425
550790003011010,30,1028
550790003011011,30,960
550790003011012,30,5560
550790003011013,30,6319
550790003011014,30,6357
550790003011015,30,5409
550790003011016,30,986
550790003011017,30,6859
550790003011018,30,5490
550790003011019,30,917
550790003011020,30,7010
550790003011021,30,7046
550790003011022,30,6860
550790003011023,30,6658
550790003011024,30,5468
550790003011025,30,1127
550790003011026,30,6274
550790003011027,30,6805
550790003011028,30,5412
550790003011029,30,1028
550790003011030,30,6262
550790003021000,30,10483
550790003021001,30,9235
550790003021002,30,8325
550790003021003,30,14271
550790003021004,30,824
550790003021005,30,1982
550790003021006,30,804
550790003021007,30,1555
550790003021008,30,16933
550790003021009,30,5176
550790003021010,30,8008
550790003021011,30,8222
550790003021012,30,6449
550790003021013,30,1120
550790003021014,30,1983
550790003021015,30,1554
550790003021016,30,804
550790003021017,30,8615
550790003021018,30,9067
550790003021019,30,10786
550790003021020,30,11625
550790003021021,30,6728
550790003021022,30,5496
550790003021023,30,6419
550790003021024,30,6518
550790003021025,30,5331
550790003031000,30,941
550790003031001,30,927
550790003031002,30,6953
550790003031003,30,7026
550790003031004,30,6918
550790003031005,30,6389
550790003031006,30,7463
550790003031007,30,7264
550790003031008,30,7194
550790003031009,30,7194
550790003031010,30,7025
550790003031011,30,7390
550790003031012,30,7224
550790003031013,30,7617
550790003031014,30,7888
550790003032000,30,4196
550790003032001,30,2685
550790003032002,30,5222
550790003032003,30,4370
550790003032004,30,4008
550790003032005,30,3593
550790003032006,30,7534
550790003032007,30,4327
550790003032008,30,6084
550790003032009,30,1714
550790003032010,30,1661
550790003032011,30,5863
550790003032012,30,6138
550790003032013,30,5863
550790003032014,30,6563
550790003041000,30,1033
550790003041001,30,1039
550790003041002,30,9449
550790003041003,30,8758
550790003041004,30,184
550790003041005,30,691
550790003041006,30,223
550790003041007,30,564
550790003041008,30,336
550790003041009,30,259
550790003041010,30,11799
550790003041011,30,10888
550790003041012,30,176
550790003041013,30,732
550790003041014,30,8714
550790003041015,30,1020
