geoid,threshold,tot_jobs
480139601001000,30,0
480139601001001,30,0
480139601001002,30,0
480139601001003,30,-1
480139601001004,30,25
480139601001005,30,25
480139601001006,30,25
480139601001007,30,0
480139601001008,30,5
480139601001009,30,0
480139601001010,30,5
480139601001011,30,5
480139601001012,30,5
480139601001013,30,81
480139601001014,30,36
480139601001015,30,0
480139601001016,30,36
480139601001017,30,0
480139601001018,30,0
480139601001019,30,0
480139601001020,30,5
480139601001021,30,81
480139601001022,30,36
480139601001023,30,5
480139601001024,30,5
480139601001025,30,5
480139601001026,30,36
480139601001027,30,36
480139601001028,30,36
480139601001029,30,36
480139601001030,30,36
480139601001031,30,36
480139601001032,30,36
480139601001033,30,36
480139601001034,30,36
480139601001035,30,36
480139601001036,30,36
480139601001037,30,36
480139601001038,30,36
480139601001039,30,36
480139601001040,30,36
480139601001041,30,36
480139601001042,30,36
480139601001043,30,36
480139601001044,30,36
480139601001045,30,36
480139601001046,30,0
480139601001047,30,0
480139601001048,30,0
480139601001049,30,0
480139601001050,30,0
480139601001051,30,0
480139601001052,30,0
480139601001053,30,3
480139601001054,30,41
480139601001055,30,0
480139601001056,30,0
480139601001057,30,0
480139601001058,30,0
480139601001059,30,0
480139601001060,30,36
480139601001061,30,36
480139601001062,30,0
480139601001063,30,36
480139601001064,30,36
480139601001065,30,36
480139601001066,30,36
480139601001067,30,36
480139601001068,30,36
480139601001069,30,0
480139601001070,30,0
480139601001071,30,-1
480139601001072,30,0
480139601001073,30,-1
480139601001074,30,0
480139601001075,30,0
480139601001076,30,0
480139601001077,30,-1
480139601001078,30,-1
480139601001079,30,-1
480139601001080,30,-1
480139601001081,30,0
480139601001082,30,0
480139601001083,30,0
480139601001084,30,41
480139601001085,30,41
480139601001086,30,41
480139601001087,30,0
480139601001088,30,0
480139601001089,30,41
480139601001090,30,0
480139601001091,30,0
480139601001092,30,2
480139601001093,30,2
480139601001094,30,0
480139601001095,30,0
480139601001096,30,0
480139601001097,30,0
480139601001098,30,0
480139601001099,30,0
480139601001100,30,0
480139601001101,30,0
480139601001102,30,0
480139601001103,30,0
480139601001104,30,0
480139601001105,30,41
480139601001106,30,0
480139601001107,30,41
480139601001108,30,41
480139601001109,30,9
480139601001110,30,0
480139601001111,30,0
480139601001112,30,0
480139601001113,30,0
480139601001114,30,0
480139601001115,30,0
480139601001116,30,0
480139601001117,30,33
480139601001118,30,34
480139601001119,30,34
480139601001120,30,34
480139601001121,30,34
480139601001122,30,34
480139601001123,30,34
480139601001124,30,34
480139601001125,30,1
480139601001126,30,36
480139601002000,30,0
480139601002001,30,0
480139601002002,30,0
480139601002003,30,0
480139601002004,30,0
480139601002005,30,0
480139601002006,30,8
480139601002007,30,0
480139601002008,30,0
480139601002009,30,0
480139601002010,30,0
480139601002011,30,2
480139601002012,30,2
480139601002013,30,2
480139601002014,30,10
480139601002015,30,0
480139601002016,30,0
480139601002017,30,0
480139601002018,30,0
480139601002019,30,2
480139601002020,30,0
480139601002021,30,10
480139601002022,30,0
480139601002023,30,0
480139601002024,30,0
480139601002025,30,-1
480139601002026,30,4
480139601002027,30,0
480139601002029,30,43
480139601002030,30,0
480139601002031,30,0
480139601002032,30,5
480139601002033,30,1
480139601002034,30,1
480139601002035,30,0
480139601002036,30,0
480139601002037,30,0
480139601002038,30,4
480139601002039,30,237
480139601002040,30,8
480139601002041,30,3
480139601002042,30,8
480139601002043,30,3
480139601002044,30,8
480139601002045,30,0
480139601002046,30,0
480139601002047,30,0
480139601002048,30,0
480139601002049,30,1
480139601002050,30,0
480139601002051,30,0
480139601002052,30,0
480139601002053,30,419
480139601002054,30,40
480139601002055,30,34
480139601002056,30,34
480139601002057,30,1
480139601002058,30,1
480139601002059,30,4
480139601002060,30,4
480139601002061,30,326
480139601002062,30,326
480139601002063,30,488
480139601002064,30,488
480139601002065,30,584
480139601002066,30,468
480139601002067,30,766
480139601002068,30,711
480139601002069,30,797
480139601002070,30,755
480139601002071,30,815
480139601002072,30,896
480139601002073,30,681
480139601002074,30,681
480139601002075,30,707
480139601002076,30,711
480139601002077,30,1073
480139601002078,30,1189
480139601002079,30,1005
480139601002080,30,888
480139601002081,30,886
480139601002082,30,884
480139601002083,30,725
480139601002084,30,581
480139601002085,30,581
480139601002086,30,677
480139601002087,30,569
480139601002088,30,0
480139601002089,30,237
480139601002090,30,0
480139601002091,30,2
480139601002092,30,2
480139601002093,30,19
480139601002094,30,3
480139601002095,30,3
480139601002096,30,1073
480139601002097,30,1330
480139601002098,30,1368
480139601002099,30,1189
480139601002100,30,1023
480139601002101,30,933
480139601002102,30,884
480139601002103,30,884
480139601002104,30,7
480139601002105,30,237
480139601002106,30,8
480139601002107,30,2207
480139601002108,30,1349
480139601002109,30,1210
480139601002110,30,1047
480139601002111,30,1183
480139601002112,30,1365
480139601002113,30,1366
480139601002114,30,2197
480139601002115,30,2213
480139601002116,30,2217
480139601002117,30,2211
480139601002118,30,1380
480139601002119,30,1375
480139601002120,30,8
480139601002121,30,0
480139601002122,30,57
480139601002123,30,237
480139601002124,30,0
480139601002125,30,0
