geoid,threshold,tot_jobs
090033301001000,30,2
090033301001001,30,2
090033301001002,30,6
090033301001003,30,7
090033301001004,30,4
090033301001005,30,15
090033301001006,30,1
090033301001007,30,15
090033301001008,30,0
090033301001009,30,0
090033301001010,30,37
090033301001011,30,6
090033301001012,30,0
090033301001013,30,0
090033301001014,30,37
090033301001015,30,1
090033301001016,30,1
090033301001017,30,1
090033301001018,30,1
090033301001019,30,1
090033301001020,30,1
090033301001021,30,0
090033301001022,30,1
090033301001023,30,1
090033301001024,30,15
090033301001025,30,4
090033301001026,30,20
090033301001027,30,1
090033301001028,30,6
090033301001029,30,43
090033301001030,30,40
090033301001031,30,77
090033301001032,30,43
090033301001033,30,43
090033301001034,30,40
090033301001035,30,41
090033301001036,30,37
090033301001037,30,6
090033301001038,30,40
090033301001039,30,1
090033301001040,30,0
090033301001042,30,0
090033301001044,30,0
090033301001045,30,0
090033301001046,30,2
090033301001047,30,2
090033301001048,30,2
090033301001049,30,1
090033301001050,30,12
090033301001051,30,12
090033301001052,30,1
090033301001053,30,12
090033301001054,30,1
090033301001055,30,2
090033301001056,30,0
090033301001057,30,0
090033301001058,30,0
090033301001060,30,13
090033301001062,30,0
090033301001063,30,14
090033301001064,30,5
090033301001065,30,1
090033301001066,30,1
090033301001067,30,1
090033301001068,30,1
090033301001069,30,1
090033301001070,30,0
090033301001071,30,0
090033301001072,30,0
090033301001073,30,0
090033301001074,30,0
090033301001075,30,40
090033301001076,30,40
090033301001077,30,41
090033301001078,30,9
090033301001079,30,5
090033301001080,30,40
090033301001081,30,5
090033301001082,30,71
090033301001083,30,77
090033301001084,30,77
090033301001085,30,77
090033301001086,30,77
090033301001087,30,6
090033301001088,30,6
090033301001089,30,6
090033301001090,30,6
090033301001091,30,78
090033301001092,30,0
090033301001093,30,0
090033301001094,30,6
090033301001095,30,6
090033301001096,30,6
090033301001097,30,6
090034001001000,30,12526
090034001001001,30,15595
090034001001002,30,4987
090034001001003,30,15131
090034001001004,30,12036
090034001001005,30,15593
090034001001006,30,14925
090034001001007,30,13419
090034001001008,30,14397
090034001001009,30,15190
090034001001010,30,15595
090034001001011,30,15731
090034001001012,30,15438
090034001001013,30,15167
090034001001014,30,4658
090034001001015,30,6019
090034001001016,30,4431
090034001001017,30,5372
090034001001018,30,4293
090034001001019,30,3837
090034001001020,30,11135
090034001001022,30,8111
090034001001023,30,7899
090034001001024,30,9224
090034001001025,30,15595
090034001001026,30,14821
090034001001027,30,8517
090034001001028,30,8711
090034001001029,30,7977
090034001001030,30,7935
090034001001031,30,9396
090034001001032,30,9651
090034001001033,30,10045
090034001001034,30,7189
090034001001035,30,5950
090034001001036,30,6236
090034001001037,30,6348
090034001001038,30,5783
090034001001039,30,7540
090034001001040,30,3006
090034001001041,30,2840
090034001001042,30,3395
090034001001043,30,6537
090034001001044,30,6839
090034001001045,30,6516
090034001001046,30,7300
090034001001047,30,7570
090034001001048,30,7284
090034001001049,30,7562
090034001001050,30,7055
090034001001051,30,3976
090034001001052,30,4926
090034001001053,30,5421
090034001001054,30,6955
090034001001055,30,5713
090034001001056,30,5536
090034001001057,30,4934
090034001001058,30,5677
090034001001059,30,6937
090034001001060,30,6016
090034001001061,30,4647
090034001001062,30,1683
090034001001063,30,1648
090034001001064,30,1413
090034001001065,30,6024
090034001001066,30,4305
090034001001067,30,14978
090034001001068,30,6348
090034001002000,30,3572
090034001002001,30,3380
090034001002002,30,3611
090034001002003,30,2980
090034001002004,30,3945
090034001002005,30,4157
090034001002006,30,3711
090034001002007,30,1859
090034001002008,30,2939
090034001002009,30,2354
090034001002010,30,2960
090034001002011,30,1803
090034001002012,30,2865
090034001002013,30,1517
090034001002014,30,2265
090034001002015,30,954
090034001002016,30,1177
090034001002017,30,534
090034001002018,30,346
090034001002019,30,1770
090034001002020,30,1744
090034001002021,30,1295
090034001002022,30,383
090034001002023,30,505
090034001002024,30,353
090034001002025,30,258
090034001002026,30,677
090034001002027,30,820
090034001002028,30,383
090034001002029,30,405
090034001002030,30,1601
090034001002032,30,398
090034001002033,30,398
090034001002034,30,383
090034001002035,30,505
090034001002036,30,539
090034001002037,30,392
090034001003000,30,4341
090034001003001,30,4284
090034001003002,30,4370
090034001003003,30,4286
090034001003004,30,4546
090034001003005,30,2899
090034001003006,30,4477
090034001003007,30,4949
090034001003008,30,2296
090034001003009,30,4210
090034001003010,30,4539
090034001003011,30,2141
090034001003012,30,2257
090034001003013,30,2099
090034001003014,30,2404
090034001003015,30,4510
090034001003016,30,4611
090034001003017,30,3412
090034001003018,30,3505
090034001003019,30,3392
090034001003020,30,4208
090034001003021,30,3103
090034001003022,30,3273
090034001003023,30,3253
090034001003024,30,3887
090034001003025,30,3720
090034001003026,30,3578
090034001003027,30,2956
090034001003028,30,4889
090034001003029,30,2732
090034001003030,30,2110
090034001003031,30,2640
090034001003032,30,2272
090034001003033,30,1489
090034001003034,30,654
090034001003035,30,669
090034001003036,30,2207
090034001003037,30,649
090034001003038,30,673
090034001003039,30,2000
090034001003040,30,3175
090034001003041,30,3355
090034001003042,30,2659
