geoid,threshold,tot_jobs
390351011011000,30,68515
390351011011001,30,71234
390351011011002,30,69679
390351011011003,30,69747
390351011011004,30,70290
390351011012000,30,71792
390351011012001,30,78692
390351011012002,30,74246
390351011012003,30,115335
390351011012004,30,72691
390351011012005,30,75763
390351011012006,30,107764
390351011021001,30,46392
390351011021002,30,44794
390351011021003,30,33330
390351011021004,30,46597
390351011021005,30,35946
390351011021006,30,57256
390351011021007,30,59011
390351011021008,30,51965
390351011021009,30,44909
390351011021010,30,63803
390351011021011,30,73997
390351011021012,30,58151
390351011021013,30,58610
390351011021014,30,65669
390351011021015,30,74893
390351011021016,30,58801
390351011021017,30,74166
390351011021018,30,59005
390351011021019,30,71360
390351011022000,30,72209
390351011022001,30,72341
390351011022002,30,68086
390351011022003,30,80248
390351011022004,30,81545
390351011022005,30,68217
390351011022006,30,64780
390351011022007,30,56708
390351011022008,30,61939
390351011022009,30,79324
390351011023000,30,67708
390351011023001,30,66658
390351011023002,30,65084
390351011023003,30,66936
390351011023004,30,81375
390351011023005,30,74815
390351011023006,30,71433
390351011023007,30,63672
390351012001003,30,4330
390351012001004,30,2782
390351012001005,30,27195
390351012001006,30,15961
390351012001007,30,23953
390351012001008,30,21687
390351012001009,30,34254
390351012001010,30,28542
390351012001011,30,42906
390351012001012,30,66855
390351012001013,30,57184
390351012001014,30,41513
390351012001015,30,49462
390351012001016,30,80420
390351012001017,30,86484
390351012001018,30,58923
390351012002000,30,34445
390351012002001,30,25549
390351012002002,30,25748
390351012002003,30,55141
390351012002004,30,51091
390351012002005,30,42478
390351012002006,30,42445
390351012002007,30,78141
390351012002008,30,72593
390351012002009,30,70351
390351012002010,30,67470
390351012002011,30,62194
390351012002012,30,70048
390351013001000,30,79950
390351013001001,30,59020
390351013001002,30,64729
390351013001003,30,61134
390351013001004,30,62809
390351013001005,30,52801
390351013001006,30,60831
390351013001007,30,39497
390351013001008,30,48411
390351013001009,30,46968
390351013001010,30,47969
390351013001011,30,45217
390351013001012,30,42477
390351013001013,30,52787
390351013001014,30,48938
390351013001015,30,61731
390351013001016,30,46738
390351013001017,30,41311
390351013001018,30,41283
390351013001019,30,43491
390351013001020,30,44007
390351013001021,30,72168
390351013001022,30,69589
390351014001000,30,28624
390351014001001,30,31481
390351014001002,30,14666
390351014001003,30,39721
390351014001004,30,15049
390351014001005,30,12006
390351014001006,30,12920
390351014001007,30,49589
390351014001008,30,14128
390351014001009,30,11707
390351014001010,30,11799
