geoid,threshold,tot_jobs
480850301001000,30,25
480850301001001,30,0
480850301001002,30,0
480850301001003,30,0
480850301001004,30,0
480850301001005,30,25
480850301001006,30,0
480850301001007,30,0
480850301001008,30,0
480850301001009,30,0
480850301001010,30,0
480850301001011,30,0
480850301001012,30,0
480850301001013,30,0
480850301001014,30,14
480850301001015,30,0
480850301001016,30,14
480850301001017,30,0
480850301001018,30,0
480850301001019,30,4
480850301001020,30,0
480850301001021,30,14
480850301001022,30,4
480850301001023,30,0
480850301001024,30,0
480850301001025,30,0
480850301001026,30,0
480850301001028,30,0
480850301001029,30,14
480850301001030,30,14
480850301001031,30,0
480850301001032,30,0
480850301001033,30,0
480850301001034,30,0
480850301001035,30,0
480850301001036,30,2
480850301001037,30,0
480850301001038,30,0
480850301001039,30,0
480850301001040,30,0
480850301001041,30,0
480850301001042,30,35
480850301001043,30,3
480850301001044,30,3
480850301001045,30,5
480850301001046,30,1
480850301001047,30,1
480850301001048,30,1
480850301001049,30,0
480850301001050,30,0
480850301001051,30,0
480850301001052,30,0
480850301001053,30,0
480850301001056,30,1
480850301001057,30,14
480850301001060,30,0
480850301001061,30,0
480850301001062,30,0
480850301001063,30,14
480850301001064,30,5
480850301001065,30,5
480850301001067,30,4
480850301001068,30,40
480850301001069,30,40
480850301001070,30,40
480850301001071,30,40
480850301001072,30,40
480850301001073,30,5
480850301001074,30,5
480850301001075,30,40
480850301001076,30,14
480850301001077,30,40
480850301001078,30,40
480850301001079,30,39
480850301001080,30,38
480850301001081,30,39
480850301001082,30,40
480850301001083,30,35
480850301001084,30,38
480850301001085,30,40
480850301001086,30,38
480850301001087,30,38
480850301001088,30,40
480850301001089,30,40
480850301001090,30,40
480850301001091,30,38
480850301001092,30,20
480850301001093,30,3
480850301001094,30,0
480850301001095,30,0
480850301001096,30,2
480850301001097,30,35
480850301001098,30,0
480850301001099,30,5
480850301001100,30,5
480850301001101,30,5
480850301001102,30,35
480850301001103,30,35
480850301001104,30,5
480850301001105,30,5
480850301001106,30,40
480850301001107,30,40
480850301001108,30,35
480850301001109,30,40
480850301002000,30,0
480850301002001,30,56
480850301002002,30,0
480850301002003,30,20
480850301002004,30,20
480850301002005,30,0
480850301002006,30,35
480850301002007,30,22
480850301002008,30,4
480850301002009,30,4
480850301002010,30,4
480850301002011,30,0
480850301002012,30,0
480850301002013,30,2
480850301002014,30,0
480850301002015,30,35
480850301002016,30,0
480850301002017,30,0
480850301002018,30,0
480850301002019,30,0
480850301002020,30,0
480850301002021,30,2
480850301002022,30,2
480850301002023,30,2
480850301002024,30,2
480850301002025,30,24
480850301002026,30,38
480850301002027,30,2
480850301002028,30,2
480850301002029,30,2
480850301002030,30,0
480850301002031,30,2
480850301002032,30,2
480850301002033,30,0
480850301002034,30,0
480850301002035,30,2
480850301002036,30,0
480850301002037,30,3
480850301002038,30,3
480850301002041,30,0
480850301002042,30,8
480850301002043,30,0
480850301002044,30,0
480850301002045,30,0
480850301002046,30,0
480850301002047,30,0
480850301002048,30,0
480850301002049,30,0
480850301002050,30,0
480850301002052,30,0
480850301002053,30,0
480850301002054,30,0
480850301002055,30,0
480850301002057,30,0
480850301002058,30,0
480850301002059,30,0
480850301002060,30,0
480850301002061,30,9
480850301002062,30,2
480850301002063,30,0
480850301002064,30,9
480850301002065,30,8
480850301003000,30,0
480850301003001,30,0
480850301003002,30,0
480850301003003,30,0
480850301003004,30,0
480850301003005,30,1
480850301003006,30,1
480850301003007,30,1
480850301003008,30,1
480850301003009,30,1
480850301003010,30,1
480850301003011,30,0
480850301003012,30,0
480850301003013,30,0
480850301003015,30,0
480850301003016,30,30
480850301003017,30,0
480850301003018,30,0
480850301003019,30,0
480850301003020,30,56
480850301003021,30,28
480850301003022,30,56
480850301003023,30,58
480850301003024,30,0
480850301003026,30,0
480850301003027,30,0
480850301003028,30,0
480850301003029,30,0
480850301003030,30,0
480850301003031,30,2
480850301003032,30,2
480850301003033,30,1
480850301003034,30,1
480850301003035,30,0
480850301003036,30,3
480850301003037,30,0
480850301003038,30,0
