geoid,threshold,tot_jobs
180290801011000,30,4
180290801011001,30,4
180290801011002,30,0
180290801011003,30,0
180290801011004,30,0
180290801011005,30,9
180290801011006,30,0
180290801011007,30,9
180290801011008,30,0
180290801011009,30,9
180290801011010,30,9
180290801011011,30,9
180290801011012,30,9
180290801011013,30,0
180290801011014,30,9
180290801011015,30,9
180290801011016,30,9
180290801011017,30,9
180290801011018,30,4
180290801011019,30,4
180290801011020,30,0
180290801011021,30,0
180290801011022,30,0
180290801011023,30,0
180290801011024,30,2
180290801011025,30,4
180290801011026,30,8
180290801011027,30,8
180290801011028,30,4
180290801011029,30,8
180290801011030,30,2
180290801011031,30,0
180290801011032,30,9
180290801011033,30,4
180290801011034,30,4
180290801011035,30,4
180290801011036,30,0
180290801011037,30,0
180290801011038,30,0
180290801011039,30,4
180290801011040,30,4
180290801011041,30,4
180290801011042,30,4
180290801011043,30,4
180290801011044,30,4
180290801011045,30,4
180290801011046,30,4
180290801011047,30,14
180290801011048,30,0
180290801011049,30,0
180290801011050,30,0
180290801011051,30,2
180290801011052,30,2
180290801011053,30,5
180290801011054,30,0
180290801011055,30,5
180290801011056,30,2
180290801011057,30,0
180290801011058,30,0
180290801011059,30,0
180290801011060,30,16
180290801011061,30,16
180290801011062,30,0
180290801011063,30,0
180290801011064,30,0
180290801011065,30,5
180290801011066,30,65
180290801011067,30,2
180290801011068,30,0
180290801011069,30,0
180290801011070,30,4
180290801011071,30,16
180290801011072,30,0
180290801011073,30,4
180290801011074,30,4
180290801011075,30,2
180290801011076,30,0
180290801011077,30,2
180290801011078,30,2
180290801011079,30,0
180290801011080,30,2
180290801011081,30,2
180290801011082,30,602
180290801011083,30,53
180290801011084,30,2
180290801011085,30,2
180290801011086,30,0
180290801011087,30,0
180290801011088,30,0
180290801011089,30,0
180290801011090,30,2
180290801011091,30,2
180290801011092,30,2
180290801011093,30,0
180290801011094,30,0
180290801011095,30,3
180290801011096,30,0
180290801011097,30,0
180290801011098,30,3
180290801011099,30,3
180290801011100,30,12
180290801011101,30,12
180290801011102,30,12
180290801011103,30,12
180290801011104,30,4
180290801011105,30,0
180290801011106,30,0
180290801011107,30,2
180290801011108,30,0
180290801011109,30,0
180290801011110,30,0
180290801011111,30,0
180290801011112,30,0
180290801011113,30,0
180290801011114,30,4
180290801011115,30,4
180290801011116,30,4
180290801011117,30,4
180290801011118,30,4
180290801011119,30,4
180290801011120,30,0
180290801011121,30,4
180290801011122,30,0
180290801011123,30,4
180290801012000,30,18
180290801012001,30,0
180290801012002,30,18
180290801012003,30,3
180290801012004,30,0
180290801012005,30,10
180290801012006,30,10
180290801012007,30,0
180290801012008,30,0
180290801012009,30,0
180290801012010,30,0
180290801012011,30,3
180290801012012,30,0
180290801012013,30,0
180290801012014,30,0
180290801012015,30,0
180290801012016,30,0
180290801012017,30,0
180290801012018,30,0
180290801012019,30,3
180290801012020,30,0
180290801012021,30,0
180290801012022,30,0
180290801012023,30,0
180290801012024,30,0
180290801012025,30,0
180290801012026,30,0
180290801012027,30,0
180290801012028,30,0
180290801012029,30,0
180290801012030,30,0
180290801012031,30,0
180290801012032,30,6
180290801012033,30,0
180290801012034,30,0
180290801012035,30,10
180290801012036,30,0
180290801012037,30,0
180290801012038,30,10
180290801012039,30,12
180290801012040,30,10
180290801012041,30,10
180290801012042,30,12
180290801012043,30,12
180290801012044,30,12
180290801012045,30,12
180290801012046,30,12
180290801012047,30,12
180290801012048,30,0
180290801012049,30,0
180290801012050,30,0
180290801012051,30,0
180290801012052,30,0
180290801012053,30,0
180290801012054,30,18
180290801012055,30,0
180290801012056,30,0
180290801012057,30,0
180290801012058,30,12
180290801012059,30,0
180290801012060,30,0
180290801012061,30,0
180290801012062,30,0
180290801012063,30,0
180290801012064,30,0
180290801012065,30,0
180290801031000,30,120
180290801031001,30,4
180290801031002,30,8
180290801031003,30,3
180290801031005,30,24
180290801031006,30,24
180290801031007,30,8
180290801031008,30,24
180290801031010,30,23
180290801031011,30,24
180290801031012,30,17
180290801031013,30,50
180290801031014,30,23
180290801031015,30,23
180290801031016,30,23
180290801031017,30,17
180290801031018,30,26
180290801031019,30,54
180290801032000,30,19
180290801032001,30,119
180290801032002,30,65
180290801032003,30,18
180290801032004,30,66
180290801032005,30,47
180290801032006,30,73
180290801032007,30,23
180290801032008,30,122
180290801032009,30,17
180290801032010,30,115
180290801032011,30,53
180290801032012,30,115
180290801032013,30,54
180290801032014,30,54
180290801032015,30,127
180290801033000,30,24
180290801033001,30,19
180290801033002,30,42
180290801033003,30,24
180290801033004,30,42
180290801033005,30,23
180290801033006,30,42
180290801033007,30,50
180290801033008,30,50
180290801033009,30,50
180290801033010,30,41
180290801033011,30,50
180290801033012,30,8
180290801033014,30,54
180290801033016,30,23
180290801033017,30,23
180290801033018,30,19
180290801033019,30,10
180290801033020,30,50
180290801033021,30,37
180290801033022,30,42
180290801033023,30,52
180290801033024,30,52
180290801033025,30,46
180290801033026,30,46
180290801033027,30,141
180290801041000,30,28
180290801041001,30,132
180290801041002,30,119
180290801041003,30,118
180290801041004,30,132
180290801041005,30,20
180290801041006,30,67
180290801041007,30,121
180290801041008,30,15
180290801041009,30,42
180290801041010,30,3
180290801041011,30,30
180290801041012,30,3
180290801041013,30,15
180290801041014,30,15
180290801041015,30,0
180290801041016,30,16
180290801041017,30,16
180290801041018,30,63
180290801041019,30,63
180290801041020,30,63
180290801041021,30,63
180290801041022,30,65
180290801041023,30,13
180290801041024,30,2
180290801041025,30,0
180290801041026,30,21
180290801041027,30,16
180290801042000,30,119
180290801042001,30,122
180290801042002,30,121
180290801042003,30,121
180290801042004,30,39
180290801042005,30,21
180290801042006,30,0
180290801042007,30,0
180290801042008,30,0
180290801042009,30,4
180290801042010,30,0
180290801042011,30,1
180290801042012,30,1
180290801042013,30,1
180290801042014,30,1
180290801042015,30,0
180290801042016,30,1
180290801042017,30,0
180290801042018,30,0
