"st","cty","GEOID","NAME","popData","incomeData","povUniverse","pov100","pov149","pov150","racUniverse","racWhite","racBlack","racAsian","hispUniverse","hisp","medRent","medValue","medAge","tenureUniverse","tenureOwn","city","logInc","thouInc","pct100","pct149","pct150","pctWht","pctBlk","pctAsn","pctHisp","pluWht","pluBlk","pluAsn","pluHisp","logMedRent","hunMedRent","logHousVal","thouHousVal","pctOwn"
25,17,"25017374500","Census Tract 3745, Middlesex County, Massachusetts",4641,57350,2313,30,61,2222,4641,3596,158,663,4641,193,1543,653800,79,1720,1197,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",10.9569281225575,57.35,1.2970168612192,1.2970168612192,1.2970168612192,77.4833010127128,3.40443869855635,14.2857142857143,4.15858651152769,1,0,0,0,7.34148385236316,15.43,13.3905567732722,653.8,69.593023255814
25,17,"25017373200","Census Tract 3732, Middlesex County, Massachusetts",4700,40424,2597,29,141,2427,4700,3616,157,605,4700,320,1471,556600,79,1926,901,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",10.6071789469717,40.424,1.11667308432807,1.11667308432807,1.11667308432807,76.936170212766,3.34042553191489,12.8723404255319,6.80851063829787,1,0,0,0,7.29369772060144,14.71,13.2296021280739,556.6,46.7808930425753
25,17,"25017301102","Census Tract 3011.02, Middlesex County, Massachusetts",5277,37228,2926,71,16,2839,5277,5160,25,53,5277,92,955,269600,43,1792,1572,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",10.5248164453056,37.228,2.42652084757348,2.42652084757348,2.42652084757348,97.7828311540648,0.473754026909229,1.00435853704756,1.74341481902596,1,0,0,0,6.86171134048073,9.55,12.5046946580203,269.6,87.7232142857143
25,17,"25017374200","Census Tract 3742, Middlesex County, Massachusetts",4437,62414,2386,23,9,2354,4437,3798,51,434,4437,130,1750,906000,79,1571,1216,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",11.0415448881672,62.414,0.9639564124057,0.9639564124057,0.9639564124057,85.5983772819473,1.14942528735632,9.78138381789497,2.929907595222,1,0,0,0,7.46737106691756,17.5,13.7167945850251,906,77.4029280712922
25,17,"25017338200","Census Tract 3382, Middlesex County, Massachusetts",4133,49831,2062,29,17,2016,4133,3182,55,813,4133,105,1500,494600,59,1540,1125,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",10.8163925593061,49.831,1.40640155189137,1.40640155189137,1.40640155189137,76.9900798451488,1.33075248003871,19.6709412049359,2.54052746189209,1,0,0,0,7.3132203870903,15,13.1115046340695,494.6,73.0519480519481
25,17,"25017326102","Census Tract 3261.02, Middlesex County, Massachusetts",6940,51269,3431,104,49,3278,6940,6568,0,318,6940,94,1012,440100,38,2514,2259,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",10.844841560004,51.269,3.03118624307782,3.03118624307782,3.03118624307782,94.6397694524496,0,4.5821325648415,1.35446685878963,1,0,0,0,6.91968384984741,10.12,12.9947572527992,440.1,89.8568019093079
25,17,"25017382300","Census Tract 3823, Middlesex County, Massachusetts",5877,56565,3023,61,60,2902,5877,5338,112,233,5877,232,1234,646900,59,2194,1767,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",10.9431456983606,56.565,2.01786304995038,2.01786304995038,2.01786304995038,90.8286540752084,1.90573421813851,3.96460779309171,3.94759230900119,1,0,0,0,7.11801620446533,12.34,13.3799470020321,646.9,80.5378304466727
25,17,"25017336402","Census Tract 3364.02, Middlesex County, Massachusetts",5095,40132,2768,17,31,2720,5095,4727,123,215,5095,152,949,394200,79,2202,1344,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",10.5999293000455,40.132,0.614161849710983,0.614161849710983,0.614161849710983,92.7772325809617,2.41413150147203,4.2198233562316,2.98331697742885,1,0,0,0,6.85540879860993,9.49,12.8846136737008,394.2,61.0354223433242
25,17,"25017312300","Census Tract 3123, Middlesex County, Massachusetts",4814,35625,2875,2,42,2831,4814,3657,90,691,4814,386,1226,225100,53,1965,1276,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",10.480802917571,35.625,0.0695652173913043,0.0695652173913043,0.0695652173913043,75.9659326963024,1.86954715413378,14.353967594516,8.0182800166182,1,0,0,0,7.11151211649616,12.26,12.3243000268948,225.1,64.9363867684478
25,17,"25017324101","Census Tract 3241.01, Middlesex County, Massachusetts",4936,40408,2508,67,0,2441,4936,4574,31,206,4936,31,863,380300,60,1854,1644,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",10.6067830641479,40.408,2.67145135566188,2.67145135566188,2.67145135566188,92.6661264181523,0.628038897893031,4.17341977309562,0.628038897893031,1,0,0,0,6.76041469108343,8.63,12.8487156939164,380.3,88.673139158576
25,17,"25017342500","Census Tract 3425, Middlesex County, Massachusetts",7979,25921,3936,170,410,3356,7979,4387,1990,484,7979,1427,1327,347600,79,2577,913,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",10.1628087299689,25.921,4.31910569105691,4.31910569105691,4.31910569105691,54.9818272966537,24.9404687304173,6.065923048001,17.8844466725154,1,0,0,0,7.19067603433221,13.27,12.7588076723734,347.6,35.4287931703531
25,17,"25017312501","Census Tract 3125.01, Middlesex County, Massachusetts",4384,32469,2267,145,193,1929,4384,3402,106,313,4384,679,1267,300500,60,1703,1224,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",10.3880410669633,32.469,6.39611821790913,6.39611821790913,6.39611821790913,77.6003649635037,2.41788321167883,7.13959854014599,15.4881386861314,1,0,0,0,7.14440718032114,12.67,12.6132030329574,300.5,71.873165002936
25,17,"25017337300","Census Tract 3373, Middlesex County, Massachusetts",5713,38686,3126,79,47,3000,5713,5014,130,490,5713,111,1535,392500,79,2323,1285,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",10.563233056462,38.686,2.52719129878439,2.52719129878439,2.52719129878439,87.7647470680903,2.27551199019779,8.57692980920707,1.94293716086119,1,0,0,0,7.3362856600213,15.35,12.8802918162046,392.5,55.3164012053379
25,17,"25017336401","Census Tract 3364.01, Middlesex County, Massachusetts",4597,46610,2652,47,34,2571,4597,3780,231,354,4597,289,1318,356100,53,2176,859,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",10.7495703893668,46.61,1.77224736048265,1.77224736048265,1.77224736048265,82.2275396998042,5.02501631498804,7.70067435283881,6.28670872308027,1,0,0,0,7.18387071506245,13.18,12.7829668692659,356.1,39.4761029411765
25,17,"25017338400","Census Tract 3384, Middlesex County, Massachusetts",5931,75881,2901,43,13,2845,5931,5107,30,713,5931,89,2511,899300,58,2026,1959,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",11.2369216026653,75.881,1.48224750086177,1.48224750086177,1.48224750086177,86.1068959703254,0.505816894284269,12.0215815208228,1.50059011971,1,0,0,0,7.82843635915759,25.11,13.7093719619026,899.3,96.6929911154985
25,17,"25017321400","Census Tract 3214, Middlesex County, Massachusetts",2903,42656,1524,11,19,1494,2903,2552,27,226,2903,196,1766,344100,38,1133,810,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",10.6609232229784,42.656,0.721784776902887,0.721784776902887,0.721784776902887,87.9090595935239,0.930072338959697,7.78504994832931,6.7516362383741,1,0,0,0,7.47647238116391,17.66,12.7486875917856,344.1,71.4916151809356
25,17,"25017338500","Census Tract 3385, Middlesex County, Massachusetts",5920,70222,2924,73,53,2798,5920,5340,22,305,5920,65,1233,889500,79,2001,1756,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",11.1594169312308,70.222,2.49658002735978,2.49658002735978,2.49658002735978,90.2027027027027,0.371621621621622,5.15202702702703,1.09797297297297,1,0,0,0,7.11720550316434,12.33,13.698414786088,889.5,87.7561219390305
25,17,"25017338100","Census Tract 3381, Middlesex County, Massachusetts",3213,57611,1547,0,8,1539,3213,2391,47,651,3213,76,1770,693900,69,999,895,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",10.9614688006733,57.611,0,0,0,74.4164332399627,1.46280734516029,20.2614379084967,2.36539060068472,1,0,0,0,7.47873482556787,17.7,13.4500831368876,693.9,89.5895895895896
25,17,"25017310602","Census Tract 3106.02, Middlesex County, Massachusetts",5345,23868,2854,291,45,2518,5345,3750,200,763,5345,822,1167,228400,64,2033,1179,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",10.080293928642,23.868,10.1962158374212,10.1962158374212,10.1962158374212,70.1590271281572,3.74181478016838,14.2750233863424,15.378858746492,1,0,0,0,7.06219163228656,11.67,12.338853756764,228.4,57.9931136251845
25,17,"25017337201","Census Tract 3372.01, Middlesex County, Massachusetts",3091,37398,1626,65,13,1548,3091,2779,63,113,3091,104,1204,450000,53,1408,757,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",10.5293725060369,37.398,3.99753997539975,3.99753997539975,3.99753997539975,89.9061792300226,2.03817534778389,3.65577483015205,3.36460692332578,1,0,0,0,7.09340462586877,12.04,13.0170028617465,450,53.7642045454545
25,17,"25017336300","Census Tract 3363, Middlesex County, Massachusetts",6437,52530,3573,30,41,3502,6437,5756,35,433,6437,132,1309,434000,79,2491,2001,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",10.869139713948,52.53,0.839630562552477,0.839630562552477,0.839630562552477,89.4205375174771,0.543731551965201,6.72673605716949,2.05064471026876,1,0,0,0,7.1770187659099,13.09,12.9807998130825,434,80.3291850662385
25,17,"25017326101","Census Tract 3261.01, Middlesex County, Massachusetts",4242,60995,2231,29,40,2162,4242,3831,53,207,4242,74,1338,398100,40,1528,1226,"BOSTON-WORCESTER-LAWRENCE-LOWELL-BROCKTON, MA",11.0185471725828,60.995,1.29986553115195,1.29986553115195,1.29986553115195,90.3111739745403,1.24941065535125,4.87977369165488,1.74446016030174,1,0,0,0,7.19893124068817,13.38,12.8944585089884,398.1,80.2356020942408
