"GEOID","NAME","variable","estimate","moe"
"36057070700","Census Tract 707, Montgomery County, New York","B01001_001",2821,290
"36057070800","Census Tract 708, Montgomery County, New York","B01001_001",2534,308
"36057070900","Census Tract 709, Montgomery County, New York","B01001_001",1777,288
"36057072100","Census Tract 721, Montgomery County, New York","B01001_001",5990,21
"36057072200","Census Tract 722, Montgomery County, New York","B01001_001",3783,25
"36057072300","Census Tract 723, Montgomery County, New York","B01001_001",3220,21
"36057072400","Census Tract 724, Montgomery County, New York","B01001_001",2566,16
"36057072500","Census Tract 725, Montgomery County, New York","B01001_001",4197,29
"36057072600","Census Tract 726, Montgomery County, New York","B01001_001",3642,20
"36057072700","Census Tract 727, Montgomery County, New York","B01001_001",4240,152
"36057072800","Census Tract 728, Montgomery County, New York","B01001_001",3966,153
"36083040100","Census Tract 401, Rensselaer County, New York","B01001_001",4543,460
"36083040200","Census Tract 402, Rensselaer County, New York","B01001_001",4627,526
"36083040300","Census Tract 403, Rensselaer County, New York","B01001_001",2723,365
"36083040400","Census Tract 404, Rensselaer County, New York","B01001_001",2215,316
"36083040500","Census Tract 405, Rensselaer County, New York","B01001_001",2113,254
"36083040600","Census Tract 406, Rensselaer County, New York","B01001_001",2371,219
"36083040700","Census Tract 407, Rensselaer County, New York","B01001_001",4885,481
"36083040800","Census Tract 408, Rensselaer County, New York","B01001_001",1874,206
"36083040900","Census Tract 409, Rensselaer County, New York","B01001_001",2737,331
"36083041000","Census Tract 410, Rensselaer County, New York","B01001_001",4538,406
"36083041100","Census Tract 411, Rensselaer County, New York","B01001_001",5313,342
"36083041200","Census Tract 412, Rensselaer County, New York","B01001_001",2818,285
"36083041300","Census Tract 413, Rensselaer County, New York","B01001_001",5205,384
"36083041400","Census Tract 414, Rensselaer County, New York","B01001_001",3919,290
"36083051500","Census Tract 515, Rensselaer County, New York","B01001_001",2525,338
"36083051600","Census Tract 516, Rensselaer County, New York","B01001_001",6910,332
"36083051701","Census Tract 517.01, Rensselaer County, New York","B01001_001",3414,19
"36083051702","Census Tract 517.02, Rensselaer County, New York","B01001_001",3445,21
"36083051800","Census Tract 518, Rensselaer County, New York","B01001_001",5713,21
"36083051901","Census Tract 519.01, Rensselaer County, New York","B01001_001",4114,222
"36083051902","Census Tract 519.02, Rensselaer County, New York","B01001_001",3562,224
"36083052002","Census Tract 520.02, Rensselaer County, New York","B01001_001",1757,148
"36083052003","Census Tract 520.03, Rensselaer County, New York","B01001_001",4520,257
"36083052004","Census Tract 520.04, Rensselaer County, New York","B01001_001",6092,236
"36083052101","Census Tract 521.01, Rensselaer County, New York","B01001_001",2240,188
"36083052102","Census Tract 521.02, Rensselaer County, New York","B01001_001",1571,140
"36083052103","Census Tract 521.03, Rensselaer County, New York","B01001_001",1699,179
"36083052201","Census Tract 522.01, Rensselaer County, New York","B01001_001",4534,20
"36083052203","Census Tract 522.03, Rensselaer County, New York","B01001_001",5764,229
"36083052204","Census Tract 522.04, Rensselaer County, New York","B01001_001",2768,224
"36083052301","Census Tract 523.01, Rensselaer County, New York","B01001_001",3919,313
"36083052303","Census Tract 523.03, Rensselaer County, New York","B01001_001",1144,138
"36083052304","Census Tract 523.04, Rensselaer County, New York","B01001_001",7088,323
"36083052402","Census Tract 524.02, Rensselaer County, New York","B01001_001",2353,162
"36083052403","Census Tract 524.03, Rensselaer County, New York","B01001_001",6709,345
"36083052404","Census Tract 524.04, Rensselaer County, New York","B01001_001",7400,363
"36083052501","Census Tract 525.01, Rensselaer County, New York","B01001_001",6366,338
"36083052502","Census Tract 525.02, Rensselaer County, New York","B01001_001",5394,338
"36083052503","Census Tract 525.03, Rensselaer County, New York","B01001_001",1325,116
"36083052601","Census Tract 526.01, Rensselaer County, New York","B01001_001",3783,95
"36083052602","Census Tract 526.02, Rensselaer County, New York","B01001_001",1075,97
"36083052603","Census Tract 526.03, Rensselaer County, New York","B01001_001",2894,12
"36091060101","Census Tract 601.01, Saratoga County, New York","B01001_001",5901,287
"36091060102","Census Tract 601.02, Saratoga County, New York","B01001_001",5669,288
"36091060200","Census Tract 602, Saratoga County, New York","B01001_001",3591,23
"36091060300","Census Tract 603, Saratoga County, New York","B01001_001",3843,198
"36091060400","Census Tract 604, Saratoga County, New York","B01001_001",2632,196
"36091060501","Census Tract 605.01, Saratoga County, New York","B01001_001",1750,170
"36091060502","Census Tract 605.02, Saratoga County, New York","B01001_001",2192,128
"36091060503","Census Tract 605.03, Saratoga County, New York","B01001_001",2216,119
"36091060601","Census Tract 606.01, Saratoga County, New York","B01001_001",2833,235
"36091060602","Census Tract 606.02, Saratoga County, New York","B01001_001",4939,236
"36091060701","Census Tract 607.01, Saratoga County, New York","B01001_001",7314,394
"36091060702","Census Tract 607.02, Saratoga County, New York","B01001_001",9339,392
"36091060800","Census Tract 608, Saratoga County, New York","B01001_001",5151,25
"36091060901","Census Tract 609.01, Saratoga County, New York","B01001_001",3833,164
"36091060902","Census Tract 609.02, Saratoga County, New York","B01001_001",1842,160
"36091061000","Census Tract 610, Saratoga County, New York","B01001_001",4277,456
"36091061100","Census Tract 611, Saratoga County, New York","B01001_001",5803,434
"36091061200","Census Tract 612, Saratoga County, New York","B01001_001",5262,510
"36091061301","Census Tract 613.01, Saratoga County, New York","B01001_001",3591,290
"36091061302","Census Tract 613.02, Saratoga County, New York","B01001_001",6490,383
"36091061303","Census Tract 613.03, Saratoga County, New York","B01001_001",2024,213
"36091061401","Census Tract 614.01, Saratoga County, New York","B01001_001",5251,301
"36091061403","Census Tract 614.03, Saratoga County, New York","B01001_001",6236,311
"36091061404","Census Tract 614.04, Saratoga County, New York","B01001_001",2820,212
"36091061500","Census Tract 615, Saratoga County, New York","B01001_001",3535,24
"36091061600","Census Tract 616, Saratoga County, New York","B01001_001",4181,24
"36091061701","Census Tract 617.01, Saratoga County, New York","B01001_001",5154,240
"36091061702","Census Tract 617.02, Saratoga County, New York","B01001_001",4393,231
"36091061800","Census Tract 618, Saratoga County, New York","B01001_001",5500,320
"36091061901","Census Tract 619.01, Saratoga County, New York","B01001_001",9333,275
"36091061903","Census Tract 619.03, Saratoga County, New York","B01001_001",5786,279
"36091062000","Census Tract 620, Saratoga County, New York","B01001_001",6526,150
"36091062100","Census Tract 621, Saratoga County, New York","B01001_001",1910,149
"36091062200","Census Tract 622, Saratoga County, New York","B01001_001",3069,216
"36091062300","Census Tract 623, Saratoga County, New York","B01001_001",2100,219
"36091062403","Census Tract 624.03, Saratoga County, New York","B01001_001",6438,350
