"GEOID","NAME","variable","estimate","moe","pct100","pct149","pct150","universe","white","black","asian","hispuniverse","hisp","pctWht","pctBlk","pctAsn","pctHisp","pluWht","pluBlk","pluAsn","pluHisp","loginc","pctOwn","medAge","logHousVal","thouHousVal","medRent","logMedRent"
"13073030102","Census Tract 301.02, Columbia County, Georgia","B01001_001",9842,608,0.597477317990706,0.907280371763664,98.4952423102456,9842,8156,571,792,9842,192,0.828693355009144,0.0580166632798212,0.0804714488925015,0.0195082300345458,1,0,0,0,10.8210175162452,94.6776155717762,27,12.6565111192811,313.8,1349,7.20711885620776
"13073030103","Census Tract 301.03, Columbia County, Georgia","B01001_001",3285,259,1.69741697416974,1.32841328413284,96.9741697416974,3285,2623,231,423,3285,132,0.798477929984779,0.0703196347031963,0.128767123287671,0.0401826484018265,1,0,0,0,10.6026416553595,83.6771300448431,17,12.5817655953047,291.2,1201,7.09090982207998
"13073030105","Census Tract 301.05, Columbia County, Georgia","B01001_001",5610,803,4.77216748768473,0.21551724137931,95.012315270936,5610,4270,680,462,5610,296,0.761140819964349,0.121212121212121,0.0823529411764706,0.0527629233511586,1,0,0,0,10.6066840689491,70.3319502074689,29,12.0076217068063,164,1111,7.01301578963963
"13073030106","Census Tract 301.06, Columbia County, Georgia","B01001_001",3847,403,3.51699882766706,2.52051582649472,93.9624853458382,3847,2892,522,292,3847,163,0.751754613984923,0.135690148167403,0.0759033012737198,0.0423706784507408,1,0,0,0,10.3138075233705,73.7971872686899,32,11.8078313825113,134.3,838,6.73101810048208
"13073030201","Census Tract 302.01, Columbia County, Georgia","B01001_001",5872,880,4.81072555205047,6.94006309148265,88.2492113564669,5872,4479,995,277,5872,178,0.762772479564033,0.169448228882834,0.0471730245231608,0.0303133514986376,1,0,0,0,10.0210927946104,67.1079429735234,31,11.7867621306,131.5,1212,7.10002716662926
"13073030202","Census Tract 302.02, Columbia County, Georgia","B01001_001",3211,397,12.8222996515679,4.45993031358885,82.7177700348432,3211,2674,258,21,3211,294,0.832762379321084,0.0803488009965743,0.00654001868576767,0.0915602616007474,1,0,0,0,10.1343214571343,67.6056338028169,43,11.6656465519879,116.5,1099,7.00215595440362
"13073030203","Census Tract 302.03, Columbia County, Georgia","B01001_001",6085,493,3.08978553253362,4.10759723736823,92.8026172300982,6085,4948,754,209,6085,359,0.813147082990961,0.123911257189811,0.0343467543138866,0.0589975349219392,1,0,0,0,10.2039254227766,75.4322111010009,34,11.8886184147447,145.6,898,6.8001700683022
"13073030302","Census Tract 303.02, Columbia County, Georgia","B01001_001",11394,765,1.33150577638535,2.40845897787351,96.2600352457411,11394,9229,1107,491,11394,674,0.809987712831315,0.0971563981042654,0.0430928558890644,0.0591539406705284,1,0,0,0,10.4889938415787,85.5896226415094,26,11.9531140091368,155.3,1100,7.00306545878646
"13073030304","Census Tract 303.04, Columbia County, Georgia","B01001_001",8237,813,2.51790251790252,0.924000924000924,96.5580965580966,8237,6535,1165,488,8237,317,0.793371373072721,0.141434988466675,0.0592448707053539,0.0384848852737647,1,0,0,0,10.7532537925377,84.6747967479675,NA,12.4450895460007,254,1284,7.15773548424991
"13073030306","Census Tract 303.06, Columbia County, Georgia","B01001_001",5780,644,NA,NA,NA,5780,4393,813,308,5780,537,0.760034602076125,0.140657439446367,0.0532871972318339,0.0929065743944637,1,0,0,0,10.4293397103187,82.4833702882483,16,12.014912140069,165.2,1094,6.99759598298193
"13073030307","Census Tract 303.07, Columbia County, Georgia","B01001_001",7187,834,2.05807724837891,3.15759797011559,94.7843247815055,7187,5811,961,151,7187,307,0.808543203005426,0.133713649645193,0.0210101572283289,0.0427160150271323,1,0,0,0,10.5023240536248,85.4476028850233,25,12.136186518066,186.5,1194,7.08506429395255
"13073030308","Census Tract 303.08, Columbia County, Georgia","B01001_001",9853,768,1.24670342843443,0.431551186765764,98.3217453847998,9853,7869,1140,310,9853,579,0.798640008119355,0.115700801786258,0.0314624987313509,0.0587638282756521,1,0,0,0,10.6980173473847,85.6589147286822,15,12.3983445331773,242.4,1718,7.4489161025442
