"st","cty","GEOID","NAME","popData","incomeData","pov100","pov149","pov150","medRent","medValue","medAge","tenureUniverse","tenureOwn","com10","com20","com30","com40","com60","bed0","bed1","bed2","bed3","bed4","bed5","completePlumb","completeKitch","edHighSchool","edSomeColl","edBach","zeroCar","grapi","NAME2","GEOID2","city","logInc","thouInc","pct100","pct149","pct150","pctWht","pctBlk","pctAsn","pluWht","pctHisp","pluBlk","pluAsn","pluHisp","logMedRent","hunMedRent","logHousVal","thouHousVal","pctOwn","comBl10","pctUnemp","edGrad","singParentHH"
6,73,"06073008360","Census Tract 83.60, San Diego County, California",6484,30336,91,113,3701,1523,372800,41,2048,1080,37.4866879659212,26.038338658147,22.1512247071352,4.17997870074547,3.03514376996805,5.4683998207082,19.4979829672792,35.9031824294039,22.5011205737338,16.6293142088749,0,100,108.935546875,23.0900920179756,19.7731649903702,27.0490049218917,1.953125,37.6,"Census Tract 83.60, San Diego County, California","06073008360","SAN DIEGO, CA",10.3200904050547,30.336,2.3303457106274,2.89372599231754,94.7759282970551,32.0172732880938,8.00431832202344,46.838371375694,NA,15.5305367057372,0,1,0,7.32843735289516,15.23,12.8287973617936,372.8,52.734375,7.10862619808307,2.17065868263473,15.0652685640916,17.431640625
6,73,"06073016901","Census Tract 169.01, San Diego County, California",6796,40759,111,32,3051,1587,412400,43,2219,1821,32.7569005653475,16.627868307283,18.1243764549385,16.4283338875956,12.2381110741603,3.20792079207921,3.72277227722772,20.5940594059406,52.1188118811881,17.9009900990099,2.45544554455446,100,111.311401532222,25.6975697569757,24.7299729972997,16.8541854185419,0,35.5,"Census Tract 169.01, San Diego County, California","06073016901","SAN DIEGO, CA",10.615431953179,40.759,3.47526612398247,1.00187852222918,95.5228553537883,78.0606238964097,6.81283107710418,4.78222483814008,NA,13.0959387875221,0,0,0,7.36960072052641,15.87,12.9297490311249,412.4,82.0639927895448,3.82440971067509,2.51134644478064,11.5661566156616,14.015322217215
6,73,"06073019602","Census Tract 196.02, San Diego County, California",5001,28519,117,87,1800,1027,457000,42,1714,1085,49.0858725761773,22.7700831024931,6.31578947368421,9.03047091412742,6.81440443213296,4.24929178470255,7.47875354107649,26.0623229461756,32.5779036827195,25.7790368271955,3.85269121813031,99.416569428238,102.392065344224,22.5266801269109,17.0752812229593,21.171041246034,4.02567094515753,29.6,"Census Tract 196.02, San Diego County, California","06073019602","SAN DIEGO, CA",10.2583258107999,28.519,5.83832335329341,4.34131736526946,89.8203592814371,82.123575284943,6.83863227354529,1.73965206958608,NA,36.1527694461108,0,0,0,6.93439720992856,10.27,13.0324386698763,457,63.3022170361727,5.98337950138504,3.18203088441741,7.84539948081915,13.8273045507585
6,73,"06073013000","Census Tract 130, San Diego County, California",6617,21910,131,203,2137,1186,364600,60,1843,820,27.8229448961156,17.8410117434508,27.10027100271,13.7759710930443,6.41373080397471,2.26377952755906,16.9291338582677,29.8228346456693,42.3228346456693,6.10236220472441,2.55905511811024,100,104.991861096039,27.2344408048666,26.0879737950398,10.7627515208236,7.32501356483993,34.8,"Census Tract 130, San Diego County, California","06073013000","SAN DIEGO, CA",9.99469843258951,21.91,5.30149736948604,8.21529745042493,86.483205180089,74.9282152032643,5.86368444914614,6.60420129968264,NA,64.8178933051232,0,0,0,7.07834157955767,11.86,12.8065561412267,364.6,44.4926749864352,7.04607046070461,14.6804260985353,3.39260645765091,32.2843190450353
6,73,"06073008362","Census Tract 83.62, San Diego County, California",3361,37033,224,40,1591,1950,481600,41,1524,717,43.9464493597206,27.0663562281723,12.9802095459837,6.57741559953434,1.0477299185099,4.26401869158878,8.99532710280374,60.1051401869159,23.5397196261682,3.09579439252336,0,99.3438320209974,111.679790026247,6.08888888888889,14.5777777777778,35.7777777777778,2.95275590551181,29.9,"Census Tract 83.62, San Diego County, California","06073008362","SAN DIEGO, CA",10.519564686019,37.033,12.0754716981132,2.15633423180593,85.7681940700809,74.2933650699197,4.19518000595061,14.8467717941089,NA,7.28949717346028,0,0,0,7.57558465155779,19.5,13.0848691729767,481.6,47.0472440944882,8.38183934807916,5.08728179551122,36.6222222222222,8.33333333333333
6,73,"06073017054","Census Tract 170.54, San Diego County, California",5884,41962,55,99,2415,1966,598700,39,1978,1437,27.410289667099,23.9515780371812,22.1357544314743,15.1318633808906,5.10159965412884,0.496277915632754,14.5409429280397,5.06203473945409,35.0372208436725,36.4764267990074,8.38709677419355,99.4944388270981,98.5844287158746,15.9888449918661,18.0339298164072,26.3769463165234,11.0717896865521,35.6,"Census Tract 170.54, San Diego County, California","06073017054","SAN DIEGO, CA",10.6445197258166,41.962,2.14091086025691,3.85363954846244,94.0054495912807,79.7076818490823,3.07613868116927,8.837525492862,NA,13.018354860639,0,0,0,7.58375630070711,19.66,13.3025159169134,598.7,72.6491405460061,6.26891482922611,3.89090909090909,22.7980478735766,11.0212335692619
6,73,"06073013204","Census Tract 132.04, San Diego County, California",3989,19171,139,207,1334,1173,78100,52,1170,519,30.1655426118945,29.1845493562232,9.07418761496015,15.1440833844267,7.05088902513795,0,16.3366336633663,41.1716171617162,35.7260726072607,4.95049504950495,1.81518151815182,100,103.589743589744,24.5759368836292,12.3076923076923,6.74556213017752,7.09401709401709,44.2,"Census Tract 132.04, San Diego County, California","06073013204","SAN DIEGO, CA",9.86115399952005,19.171,8.27380952380952,12.3214285714286,79.4047619047619,80.1453998495864,1.05289546252194,4.28678866883931,NA,90.8247681123088,0,0,1,7.06731984865348,11.73,11.2657453358278,78.1,44.3589743589744,9.38074800735745,17.7929022848809,3.74753451676529,28.7179487179487
6,73,"06073019601","Census Tract 196.01, San Diego County, California",6559,29534,227,156,2718,1338,440600,43,2195,1115,44.5689069925322,19.7895451459606,8.89341479972845,4.82009504412763,11.7786829599457,0,7.22021660649819,33.6191335740072,40.6137184115523,15.9296028880866,2.6173285198556,99.2255125284738,100.956719817768,31.315289648623,26.329534662868,14.8860398860399,2.64236902050114,35.6,"Census Tract 196.01, San Diego County, California","06073019601","SAN DIEGO, CA",10.2932974210337,29.534,7.3202192841019,5.03063527894228,87.6491454369558,88.9922244244549,1.78380850739442,2.0582405854551,NA,33.9533465467297,0,0,0,7.19893124068817,13.38,12.9958927133504,440.6,50.7972665148064,10.1493550577054,6.85053380782918,5.3656220322887,22.369020501139
6,73,"06073013205","Census Tract 132.05, San Diego County, California",2392,16190,133,125,612,1147,172900,43,622,253,26.8897149938042,19.3308550185874,26.8897149938042,11.276332094176,7.31102850061958,0,15.7973174366617,41.4307004470939,37.1087928464978,5.66318926974665,0,100,107.877813504823,26.6249021143305,17.8543461237275,6.96945967110415,7.71704180064309,37,"Census Tract 132.05, San Diego County, California","06073013205","SAN DIEGO, CA",9.69214904667168,16.19,15.2873563218391,14.367816091954,70.3448275862069,84.2809364548495,1.29598662207358,0.836120401337793,NA,93.7290969899665,0,0,1,7.04490511712937,11.47,12.0604686716714,172.9,40.6752411575563,8.30235439900867,9.32798395185557,1.25293657008614,36.9774919614148
6,73,"06073016902","Census Tract 169.02, San Diego County, California",2591,36995,96,31,999,1613,447200,38,827,618,20.5311542390194,23.7997957099081,12.6659856996936,19.1011235955056,9.60163432073544,0,9.04079382579934,14.0022050716648,45.8654906284454,27.0121278941566,4.07938257993385,100,108.948004836759,34.613244296049,23.0383973288815,17.9744017807457,5.19951632406288,25.6,"Census Tract 169.02, San Diego County, California","06073016902","SAN DIEGO, CA",10.5185380473597,36.995,8.52575488454707,2.75310834813499,88.7211367673179,71.015052103435,1.31223465843304,1.04206869934388,NA,16.2099575453493,0,0,0,7.38585107812521,16.13,13.010761200823,447.2,74.7279322853688,14.3003064351379,6.51465798045603,4.17362270450751,12.0918984280532
6,73,"06073002712","Census Tract 27.12, San Diego County, California",4835,21718,175,310,1569,948,209700,46,1727,859,31.9319319319319,31.1811811811812,12.7127127127127,13.4134134134134,7.20720720720721,3.20130222463375,20.238741182854,44.2213781877374,26.5328269126424,4.99186109603907,0.813890396093326,100,106.253618992472,25.6451612903226,26.8709677419355,12.2903225806452,17.5448755066589,48.8,"Census Tract 27.12, San Diego County, California","06073002712","SAN DIEGO, CA",9.98589668877685,21.718,8.51996105160662,15.0925024342746,76.3875365141188,37.6628748707342,26.5149948293692,17.8697001034126,NA,34.3743536711479,0,0,0,6.85435450225502,9.48,12.25343321689,209.7,49.7394325419803,3.55355355355355,13.9515455304929,2.80645161290323,21.3086276780544
