"st","cty","GEOID","NAME","popData","incomeData","povUniverse","pov100","pov149","pov150","racUniverse","racWhite","racBlack","racAsian","hispUniverse","hisp","medRent","medValue","medAge","tenureUniverse","tenureOwn","city","logInc","thouInc","pct100","pct149","pct150","pctWht","pctBlk","pctAsn","pctHisp","pluWht","pluBlk","pluAsn","pluHisp","logMedRent","hunMedRent","logHousVal","thouHousVal","pctOwn"
6,85,"06085503327","Census Tract 5033.27, Santa Clara County, California",5030,28363,2144,53,134,1957,5030,1719,184,2489,5030,1426,2323,617400,46,1433,916,"SAN JOSE, CA",10.2528407578441,28.363,2.47201492537313,2.47201492537313,2.47201492537313,34.1749502982107,3.65805168986083,49.4831013916501,28.3499005964215,0,0,1,0,7.75061473277041,23.23,13.3332723910502,617.4,63.9218422889044
6,85,"06085506103","Census Tract 5061.03, Santa Clara County, California",4962,53913,2152,11,113,2028,4962,2072,77,2585,4962,511,1964,949200,59,1645,1025,"SAN JOSE, CA",10.8951269152001,53.913,0.511152416356877,0.511152416356877,0.511152416356877,41.7573559048771,1.55179363160016,52.0959290608626,10.298266827892,0,0,1,0,7.58273848891441,19.64,13.7633748035437,949.2,62.3100303951368
6,85,"06085506202","Census Tract 5062.02, Santa Clara County, California",7224,54833,3531,99,32,3400,7224,3299,130,3291,7224,525,1783,986200,55,2515,1521,"SAN JOSE, CA",10.9120474814736,54.833,2.80373831775701,2.80373831775701,2.80373831775701,45.6672203765227,1.79955703211517,45.5564784053156,7.26744186046512,1,0,0,0,7.48605261786314,17.83,13.8016144527722,986.2,60.4771371769384
6,85,"06085504201","Census Tract 5042.01, Santa Clara County, California",5348,47917,2879,85,55,2739,5348,3149,175,1339,5348,1758,1792,692700,59,1806,1402,"SAN JOSE, CA",10.777225626489,47.917,2.95241403265023,2.95241403265023,2.95241403265023,58.8818249813014,3.27225130890052,25.037397157816,32.8721017202693,1,0,0,0,7.49108759353488,17.92,13.4483522840107,692.7,77.6301218161683
6,85,"06085503329","Census Tract 5033.29, Santa Clara County, California",3680,51168,1799,30,14,1755,3680,750,95,2532,3680,474,2750,850500,30,980,876,"SAN JOSE, CA",10.8428696156337,51.168,1.66759310728182,1.66759310728182,1.66759310728182,20.3804347826087,2.58152173913043,68.804347826087,12.8804347826087,0,0,1,0,7.91935619066062,27.5,13.6535796908181,850.5,89.3877551020408
6,85,"06085501102","Census Tract 5011.02, Santa Clara County, California",4947,32300,2373,159,192,2022,4947,2634,118,360,4947,3068,1679,512900,79,1379,934,"SAN JOSE, CA",10.3828225092107,32.3,6.70037926675095,6.70037926675095,6.70037926675095,53.244390539721,2.38528401051142,7.27713765918739,62.0173842732969,0,0,0,1,7.42595365707754,16.79,13.1478361733774,512.9,67.7302393038434
6,85,"06085503315","Census Tract 5033.15, Santa Clara County, California",8280,26215,3803,298,257,3248,8280,1449,297,4491,8280,2821,1921,497800,42,2040,1266,"SAN JOSE, CA",10.1740870450066,26.215,7.83591901130686,7.83591901130686,7.83591901130686,17.5,3.58695652173913,54.2391304347826,34.0700483091787,0,0,1,0,7.56060116276856,19.21,13.1179536689156,497.8,62.0588235294118
6,85,"06085511916","Census Tract 5119.16, Santa Clara County, California",4774,46489,2356,69,107,2180,4774,3055,99,1137,4774,676,1319,835700,49,1696,1189,"SAN JOSE, CA",10.7469710044511,46.489,2.92869269949066,2.92869269949066,2.92869269949066,63.9924591537495,2.07373271889401,23.8165060745706,14.1600335148722,1,0,0,0,7.18462915271731,13.19,13.6360249759895,835.7,70.1061320754717
6,85,"06085502302","Census Tract 5023.02, Santa Clara County, California",2813,44583,1752,94,74,1584,2813,2127,26,235,2813,689,1589,938800,60,1275,421,"SAN JOSE, CA",10.7051078994267,44.583,5.36529680365297,5.36529680365297,5.36529680365297,75.6132243156772,0.924280127977248,8.35407038748667,24.4934233913971,1,0,0,0,7.37086016653672,15.89,13.752357742959,938.8,33.0196078431373
6,85,"06085512604","Census Tract 5126.04, Santa Clara County, California",4887,19186,1792,318,447,1027,4887,3577,26,165,4887,4267,1466,281500,46,1174,381,"SAN JOSE, CA",9.86193612537789,19.186,17.7455357142857,17.7455357142857,17.7455357142857,73.1941886638019,0.532023736443626,3.37630448127686,87.3132801309597,0,0,0,1,7.2902928824466,14.66,12.5478877265619,281.5,32.4531516183986
6,85,"06085500500","Census Tract 5005, Santa Clara County, California",5616,63107,2970,138,129,2703,5616,3721,78,903,5616,1124,1456,811100,66,2051,1449,"SAN JOSE, CA",11.0525869774002,63.107,4.64646464646465,4.64646464646465,4.64646464646465,66.2571225071225,1.38888888888889,16.0790598290598,20.014245014245,1,0,0,0,7.28344822875663,14.56,13.6061466300584,811.1,70.6484641638225
6,85,"06085504202","Census Tract 5042.02, Santa Clara County, California",4899,48922,2538,17,115,2406,4899,2789,18,1076,4899,1946,2010,780600,46,1473,1184,"SAN JOSE, CA",10.7979824720398,48.922,0.669818754925138,0.669818754925138,0.669818754925138,56.9299857113697,0.367421922841396,21.9636660542968,39.7223923249643,1,0,0,0,7.60589000105312,20.1,13.5678181337287,780.6,80.3801765105227
6,85,"06085508102","Census Tract 5081.02, Santa Clara County, California",3135,82341,1617,0,84,1533,3135,776,0,2028,3135,108,2290,937000,49,1193,546,"SAN JOSE, CA",11.3186244400158,82.341,0,0,0,24.7527910685805,0,64.688995215311,3.44497607655502,0,0,1,0,7.73630709654828,22.9,13.7504385612206,937,45.766974015088
6,85,"06085512314","Census Tract 5123.14, Santa Clara County, California",6338,30791,3014,179,154,2681,6338,4239,194,420,6338,2925,1398,593900,40,2158,1241,"SAN JOSE, CA",10.3349777184684,30.791,5.93895155938952,5.93895155938952,5.93895155938952,66.8822972546545,3.06090249289997,6.62669611864942,46.1502051120227,1,0,0,0,7.24279792279376,13.98,13.294466234004,593.9,57.5069508804449
6,85,"06085503326","Census Tract 5033.26, Santa Clara County, California",7275,58077,3523,97,85,3341,7275,862,262,5596,7275,867,1568,964200,20,1813,1459,"SAN JOSE, CA",10.9695249952721,58.077,2.75333522565995,2.75333522565995,2.75333522565995,11.8487972508591,3.60137457044674,76.9209621993127,11.9175257731959,0,0,1,0,7.35755620091035,15.68,13.7790540209537,964.2,80.4743519029233
6,85,"06085504806","Census Tract 5048.06, Santa Clara County, California",2935,33026,1635,92,21,1522,2935,1226,68,1225,2935,867,2535,639700,62,775,601,"SAN JOSE, CA",10.4050504090229,33.026,5.62691131498471,5.62691131498471,5.62691131498471,41.7717206132879,2.31686541737649,41.7376490630324,29.5400340715503,1,0,0,0,7.83794891602528,25.35,13.3687545954382,639.7,77.5483870967742
6,85,"06085509401","Census Tract 5094.01, Santa Clara County, California",3738,66897,2242,65,15,2162,3738,1843,157,1581,3738,255,1782,970200,49,1757,340,"SAN JOSE, CA",11.1109094020615,66.897,2.89919714540589,2.89919714540589,2.89919714540589,49.3044408774746,4.20010700909577,42.2953451043339,6.82182985553772,1,0,0,0,7.48549160803075,17.82,13.7852575147933,970.2,19.3511667615253
6,85,"06085503313","Census Tract 5033.13, Santa Clara County, California",4479,55865,2279,19,21,2239,4479,1397,116,2536,4479,1008,2722,812200,37,1297,1194,"SAN JOSE, CA",10.9306933449814,55.865,0.833698990785432,0.833698990785432,0.833698990785432,31.1899977673588,2.58986380888591,56.619781201161,22.5050234427328,0,0,1,0,7.90912218321141,27.22,13.6075018942343,812.2,92.0585967617579
6,85,"06085502902","Census Tract 5029.02, Santa Clara County, California",7444,58765,3707,156,22,3529,7444,5551,26,1184,7444,1596,2064,810000,54,2707,2357,"SAN JOSE, CA",10.981301718567,58.765,4.20825465335851,4.20825465335851,4.20825465335851,74.570123589468,0.349274583557227,15.905427189683,21.4400859752821,1,0,0,0,7.63240112660145,20.64,13.6047895266486,810,87.0705578130772
6,85,"06085504308","Census Tract 5043.08, Santa Clara County, California",4398,46078,2057,70,53,1934,4398,1624,36,2322,4398,663,1128,742200,45,1525,1253,"SAN JOSE, CA",10.7380908916501,46.078,3.40301409820126,3.40301409820126,3.40301409820126,36.9258753979081,0.818553888130969,52.7967257844475,15.075034106412,0,0,1,0,7.028201432058,11.28,13.5173740276086,742.2,82.1639344262295
6,85,"06085508204","Census Tract 5082.04, Santa Clara County, California",4142,82620,1917,3,49,1865,4142,1553,22,2358,4142,284,2252,1117500,51,1481,1084,"SAN JOSE, CA",11.3220070609508,82.62,0.156494522691706,0.156494522691706,0.156494522691706,37.4939642684693,0.531144374698213,56.9290197971994,6.85659101883148,0,0,1,0,7.71957398925958,22.52,13.9266046054699,1117.5,73.1937879810939
6,85,"06085504101","Census Tract 5041.01, Santa Clara County, California",4964,21396,2359,157,304,1898,4964,1434,67,721,4964,3428,1593,498500,61,1095,717,"SAN JOSE, CA",9.97095926765114,21.396,6.65536244171259,6.65536244171259,6.65536244171259,28.8879935535858,1.34971796937953,14.5245769540693,69.0572119258662,0,0,0,1,7.37337430991005,15.93,13.119358868384,498.5,65.4794520547945
6,85,"06085500300","Census Tract 5003, Santa Clara County, California",3790,44422,2551,268,128,2155,3790,2130,280,780,3790,866,2175,597900,29,1464,723,"SAN JOSE, CA",10.7014901211985,44.422,10.5056840454724,10.5056840454724,10.5056840454724,56.2005277044855,7.38786279683377,20.5804749340369,22.8496042216359,1,0,0,0,7.68478394352278,21.75,13.301178794869,597.9,49.3852459016393
6,85,"06085500901","Census Tract 5009.01, Santa Clara County, California",4064,37967,2337,341,133,1863,4064,1281,286,1772,4064,745,1487,568500,27,2063,340,"SAN JOSE, CA",10.5444726403599,37.967,14.5913564398802,14.5913564398802,14.5913564398802,31.5206692913386,7.03740157480315,43.6023622047244,18.3316929133858,0,0,1,0,7.30451594646016,14.87,13.2507565921727,568.5,16.4808531265148
6,85,"06085504102","Census Tract 5041.02, Santa Clara County, California",6100,25262,2781,203,126,2452,6100,1757,68,971,6100,4620,1781,469100,56,1352,892,"SAN JOSE, CA",10.1370565693339,25.262,7.29953254225099,7.29953254225099,7.29953254225099,28.8032786885246,1.11475409836066,15.9180327868852,75.7377049180328,0,0,0,1,7.48493028328966,17.81,13.0585712443165,469.1,65.9763313609467
6,85,"06085503321","Census Tract 5033.21, Santa Clara County, California",4942,31450,2388,72,76,2240,4942,416,142,3771,4942,752,2313,675300,32,1090,889,"SAN JOSE, CA",10.3561542621286,31.45,3.01507537688442,3.01507537688442,3.01507537688442,8.41764467826791,2.8733306353703,76.3051396195872,15.216511533792,0,0,1,0,7.74630066223144,23.13,13.4229123155629,675.3,81.5596330275229
6,85,"06085501101","Census Tract 5011.01, Santa Clara County, California",4567,31131,2694,275,183,2236,4567,1887,428,1059,4567,1843,1468,464800,35,1944,343,"SAN JOSE, CA",10.3459593862734,31.131,10.2078693392725,10.2078693392725,10.2078693392725,41.318151959711,9.37157871688198,23.1880884606963,40.3547186336764,1,0,0,0,7.29165620917446,14.68,13.0493624845198,464.8,17.6440329218107
6,85,"06085509303","Census Tract 5093.03, Santa Clara County, California",3444,50313,1679,83,117,1479,3444,2193,136,828,3444,771,1488,820300,42,1743,486,"SAN JOSE, CA",10.8260187719997,50.313,4.9434187016081,4.9434187016081,4.9434187016081,63.6759581881533,3.94889663182346,24.0418118466899,22.3867595818815,1,0,0,0,7.30518821539304,14.88,13.6174254059908,820.3,27.8829604130809
6,85,"06085504317","Census Tract 5043.17, Santa Clara County, California",4886,35046,2554,2,36,2516,4886,723,9,3750,4886,424,2526,633100,41,1198,963,"SAN JOSE, CA",10.4644167632684,35.046,0.0783085356303837,0.0783085356303837,0.0783085356303837,14.7973802701596,0.184199754400327,76.7498976668031,8.6778550961932,0,0,1,0,7.83439230291044,25.26,13.3583836665322,633.1,80.3839732888147
6,85,"06085504314","Census Tract 5043.14, Santa Clara County, California",4837,31182,2104,117,95,1892,4837,846,128,2889,4837,1188,2283,678000,46,1333,971,"SAN JOSE, CA",10.3475962842365,31.182,5.56083650190114,5.56083650190114,5.56083650190114,17.4901798635518,2.64626834814968,59.7271035765971,24.5606781062642,0,0,1,0,7.7332456465298,22.83,13.4269025669225,678,72.8432108027007
6,85,"06085504322","Census Tract 5043.22, Santa Clara County, California",5023,61796,2958,104,150,2704,5023,804,118,3635,5023,565,1900,621300,24,2043,748,"SAN JOSE, CA",11.0315939164319,61.796,3.5158891142664,3.5158891142664,3.5158891142664,16.0063706948039,2.34919370893888,72.3671112880749,11.2482580131396,0,0,1,0,7.54960916515453,19,13.3395693360518,621.3,36.6128242780225
6,85,"06085500600","Census Tract 5006, Santa Clara County, California",5165,52383,2904,70,82,2752,5165,3084,312,738,5165,1189,1431,849000,48,2364,842,"SAN JOSE, CA",10.8663373901902,52.383,2.41046831955923,2.41046831955923,2.41046831955923,59.7095837366893,6.0406582768635,14.2884801548887,23.0203291384318,1,0,0,0,7.26612877955645,14.31,13.6518144652935,849,35.6175972927242
6,85,"06085512602","Census Tract 5126.02, Santa Clara County, California",2673,27882,1253,79,103,1071,2673,2163,28,291,2673,1345,1322,839800,46,802,482,"SAN JOSE, CA",10.235736598313,27.882,6.3048683160415,6.3048683160415,6.3048683160415,80.9203142536476,1.04751215862327,10.8866442199776,50.3179947624392,1,0,0,0,7.18690102041163,13.22,13.6409190472322,839.8,60.0997506234414
6,85,"06085504307","Census Tract 5043.07, Santa Clara County, California",5575,39659,2511,179,84,2248,5575,1230,205,3518,5575,780,1747,646200,42,1716,1191,"SAN JOSE, CA",10.5880731874342,39.659,7.12863401035444,7.12863401035444,7.12863401035444,22.0627802690583,3.67713004484305,63.1031390134529,13.9910313901345,0,0,1,0,7.46565531013406,17.47,13.3788643323725,646.2,69.4055944055944
6,85,"06085512509","Census Tract 5125.09, Santa Clara County, California",4227,32692,2118,139,89,1890,4227,3103,96,272,4227,2483,1532,482900,36,1227,988,"SAN JOSE, CA",10.394885678636,32.692,6.56279508970727,6.56279508970727,6.56279508970727,73.4090371421812,2.27111426543648,6.43482375207003,58.741424177904,1,0,0,0,7.33432935030054,15.32,13.0875648718616,482.9,80.521597392013
6,85,"06085504002","Census Tract 5040.02, Santa Clara County, California",6528,23486,2696,170,150,2376,6528,1784,115,1774,6528,4270,1449,411900,46,1430,597,"SAN JOSE, CA",10.064159777925,23.486,6.30563798219585,6.30563798219585,6.30563798219585,27.328431372549,1.76164215686275,27.1752450980392,65.4105392156863,0,0,0,1,7.27862894232068,14.49,12.9285358804242,411.9,41.7482517482517
6,85,"06085512402","Census Tract 5124.02, Santa Clara County, California",4988,32362,2470,109,34,2327,4988,3280,132,453,4988,1991,1526,826900,45,1446,1071,"SAN JOSE, CA",10.3847401739598,32.362,4.41295546558704,4.41295546558704,4.41295546558704,65.7578187650361,2.64635124298316,9.08179631114675,39.915797914996,1,0,0,0,7.3304052118444,15.26,13.6254390477103,826.9,74.0663900414938
6,85,"06085503802","Census Tract 5038.02, Santa Clara County, California",8328,26164,3911,58,185,3668,8328,2099,252,3009,8328,3279,1699,555800,50,2252,1475,"SAN JOSE, CA",10.1721396990811,26.164,1.48299667604193,1.48299667604193,1.48299667604193,25.2041306436119,3.02593659942363,36.1311239193084,39.3731988472622,0,0,0,1,7.43779512167193,16.99,13.2281637962905,555.8,65.4973357015986
6,85,"06085503116","Census Tract 5031.16, Santa Clara County, California",5336,33902,2772,171,110,2491,5336,2196,26,2512,5336,646,2144,231100,23,2276,1262,"SAN JOSE, CA",10.4312292886784,33.902,6.16883116883117,6.16883116883117,6.16883116883117,41.1544227886057,0.487256371814093,47.0764617691154,12.1064467766117,0,0,1,0,7.67042852219069,21.44,12.3506057962625,231.1,55.4481546572935
6,85,"06085504901","Census Tract 5049.01, Santa Clara County, California",10593,92089,5453,57,32,5364,10593,2776,196,6917,10593,333,2461,836100,16,4123,1404,"SAN JOSE, CA",11.4305107797141,92.089,1.04529616724739,1.04529616724739,1.04529616724739,26.2059850844898,1.8502784857925,65.2978381950345,3.14358538657604,0,0,1,0,7.80832305039106,24.61,13.6365035021381,836.1,34.0528741207858
6,85,"06085511915","Census Tract 5119.15, Santa Clara County, California",3678,22852,1524,131,253,1140,3678,1888,391,376,3678,1374,1338,669400,45,1275,416,"SAN JOSE, CA",10.0367939198444,22.852,8.59580052493438,8.59580052493438,8.59580052493438,51.3322457857531,10.6307775965198,10.2229472539424,37.3572593800979,1,0,0,0,7.19893124068817,13.38,13.4141370677594,669.4,32.6274509803922
6,85,"06085503330","Census Tract 5033.30, Santa Clara County, California",8688,71442,3777,96,61,3620,8688,1380,19,6831,8688,947,2852,1081000,20,2158,1883,"SAN JOSE, CA",11.1766412106792,71.442,2.54169976171565,2.54169976171565,2.54169976171565,15.8839779005525,0.218692449355433,78.6256906077348,10.9000920810313,0,0,1,0,7.95577578153419,28.52,13.8933970966213,1081,87.25671918443
6,85,"06085509600","Census Tract 5096, Santa Clara County, California",3403,71467,2123,54,41,2028,3403,2188,64,920,3403,281,2337,1252800,42,1483,475,"SAN JOSE, CA",11.1769910836789,71.467,2.54357041921809,2.54357041921809,2.54357041921809,64.2962092271525,1.88069350573024,27.0349691448722,8.25741992359683,1,0,0,0,7.75662333453886,23.37,14.0408916042187,1252.8,32.0296695886716
6,85,"06085508203","Census Tract 5082.03, Santa Clara County, California",5263,82367,2278,31,25,2222,5263,1825,82,3142,5263,299,1964,1139100,52,1797,1252,"SAN JOSE, CA",11.318940150245,82.367,1.36084284460053,1.36084284460053,1.36084284460053,34.6760402812084,1.55804674140224,59.6997909937298,5.68117043511305,0,0,1,0,7.58273848891441,19.64,13.945749034888,1139.1,69.6716750139121
6,85,"06085503003","Census Tract 5030.03, Santa Clara County, California",5571,50651,2760,59,7,2694,5571,3813,142,700,5571,1025,2281,724200,54,1836,1582,"SAN JOSE, CA",10.8327142528186,50.651,2.13768115942029,2.13768115942029,2.13768115942029,68.4437264404954,2.5489140190271,12.5650691078801,18.3988511936816,1,0,0,0,7.73236922228439,22.81,13.4928228763137,724.2,86.1655773420479
6,85,"06085504311","Census Tract 5043.11, Santa Clara County, California",7220,60455,3712,151,82,3479,7220,1029,18,5488,7220,416,2153,700200,30,2411,1628,"SAN JOSE, CA",11.0096545656083,60.455,4.06788793103448,4.06788793103448,4.06788793103448,14.2520775623269,0.249307479224377,76.01108033241,5.7617728531856,0,0,1,0,7.67461749736436,21.53,13.4591212875027,700.2,67.5238490253007
6,85,"06085512510","Census Tract 5125.10, Santa Clara County, California",6356,41065,3129,86,45,2998,6356,4588,89,464,6356,2988,1591,601000,31,2258,1287,"SAN JOSE, CA",10.6229114561743,41.065,2.74848194311282,2.74848194311282,2.74848194311282,72.1837633731907,1.40025173064821,7.30018879798616,47.0106985525488,1,0,0,0,7.37211802833779,15.91,13.3063502135173,601,56.9973427812223
6,85,"06085504315","Census Tract 5043.15, Santa Clara County, California",6719,36465,3078,52,108,2918,6719,1228,263,4312,6719,1013,1960,595000,43,2000,1522,"SAN JOSE, CA",10.5041081754183,36.465,1.68940870695257,1.68940870695257,1.68940870695257,18.2765292454234,3.91427295728531,64.1762166989135,15.0766483107605,0,0,1,0,7.58069975222456,19.6,13.2963166845278,595,76.1
6,85,"06085503113","Census Tract 5031.13, Santa Clara County, California",5017,22980,2282,371,272,1639,5017,1877,180,353,5017,4100,1357,474700,62,1369,485,"SAN JOSE, CA",10.0423795514027,22.98,16.2576687116564,16.2576687116564,16.2576687116564,37.4127964919274,3.58780147498505,7.03607733705402,81.7221447079928,0,0,0,1,7.21303165983487,13.57,13.0704383045394,474.7,35.427319211103
6,85,"06085503108","Census Tract 5031.08, Santa Clara County, California",8094,39375,3741,173,119,3449,8094,3607,341,2647,8094,3043,1441,685300,26,2781,1233,"SAN JOSE, CA",10.5808863761279,39.375,4.62443197006148,4.62443197006148,4.62443197006148,44.5638744749197,4.21299728193724,32.7032369656536,37.5957499382259,1,0,0,0,7.27309259599952,14.41,13.4376119775739,685.3,44.336569579288
6,85,"06085503111","Census Tract 5031.11, Santa Clara County, California",5257,25538,2379,97,129,2153,5257,1605,197,2401,5257,2350,1710,484500,45,1127,796,"SAN JOSE, CA",10.1479228179846,25.538,4.07734342160572,4.07734342160572,4.07734342160572,30.5307209435039,3.74738443979456,45.6724367509987,44.7023016929808,0,0,1,0,7.44424864949671,17.1,13.090872710313,484.5,70.6299911268855
6,85,"06085503322","Census Tract 5033.22, Santa Clara County, California",4504,34019,2212,74,59,2079,4504,1427,176,1908,4504,1819,2586,597300,49,1067,877,"SAN JOSE, CA",10.434674471044,34.019,3.34538878842676,3.34538878842676,3.34538878842676,31.6829484902309,3.90763765541741,42.3623445825933,40.386323268206,0,0,1,0,7.8578675593318,25.86,13.3001747787204,597.3,82.1930646672915
6,85,"06085504316","Census Tract 5043.16, Santa Clara County, California",5401,36458,2686,85,111,2490,5401,1082,202,3444,5401,1125,2087,574000,40,1409,1039,"SAN JOSE, CA",10.5039161920929,36.458,3.16455696202532,3.16455696202532,3.16455696202532,20.0333271616367,3.74004813923348,63.7659692649509,20.8294760229587,0,0,1,0,7.6434829070772,20.87,13.2603846753017,574,73.7402413058907
6,85,"06085504805","Census Tract 5048.05, Santa Clara County, California",6755,41208,3560,153,73,3334,6755,4336,345,1768,6755,873,2430,142100,22,2694,2007,"SAN JOSE, CA",10.6263876912454,41.208,4.29775280898876,4.29775280898876,4.29775280898876,64.1894892672095,5.10732790525537,26.1732050333087,12.9237601776462,1,0,0,0,7.79564653633459,24.3,11.8642863140852,142.1,74.4988864142539
6,85,"06085509500","Census Tract 5095, Santa Clara County, California",5371,46602,3411,191,340,2880,5371,3339,130,1255,5371,1843,1779,865500,50,2240,403,"SAN JOSE, CA",10.7493987376477,46.602,5.59953092934623,5.59953092934623,5.59953092934623,62.1671941910259,2.42040588344815,23.3662260286725,34.3139080245764,1,0,0,0,7.48380668766583,17.79,13.6710626535984,865.5,17.9910714285714
6,85,"06085502301","Census Tract 5023.01, Santa Clara County, California",3524,51054,1701,18,31,1652,3524,2577,137,278,3524,553,1832,1134100,59,1354,724,"SAN JOSE, CA",10.8406391750776,51.054,1.05820105820106,1.05820105820106,1.05820105820106,73.1271282633371,3.88762769580023,7.88876276958002,15.6923950056754,1,0,0,0,7.51316354523408,18.32,13.9413499428034,1134.1,53.4711964549483
