"st","cty","GEOID","NAME","popData","incomeData","povUniverse","pov100","pov149","pov150","racUniverse","racWhite","racBlack","racAsian","hispUniverse","hisp","medRent","medValue","medAge","tenureUniverse","tenureOwn","city","logInc","thouInc","pct100","pct149","pct150","pctWht","pctBlk","pctAsn","pctHisp","pluWht","pluBlk","pluAsn","pluHisp","logMedRent","hunMedRent","logHousVal","thouHousVal","pctOwn"
37,109,"37109071102","Census Tract 711.02, Lincoln County, North Carolina",5297,34844,2535,40,35,2460,5297,5040,72,66,5297,67,791,247100,17,1994,1685,"CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",10.4586362349388,34.844,1.57790927021696,1.57790927021696,1.57790927021696,95.148197092694,1.35925995846706,1.24598829526147,1.26486690579573,1,0,0,0,6.67329796776765,7.91,12.4175483919767,247.1,84.5035105315948
37,109,"37109070901","Census Tract 709.01, Lincoln County, North Carolina",3105,26172,1289,54,196,1039,3105,3048,12,0,3105,79,624,157000,25,1154,961,"CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",10.1724454159896,26.172,4.18929402637704,4.18929402637704,4.18929402637704,98.1642512077295,0.386473429951691,0,2.54428341384863,1,0,0,0,6.43615036836943,6.24,11.9640010843304,157,83.2755632582322
37,109,"37109071201","Census Tract 712.01, Lincoln County, North Carolina",1892,33798,986,11,7,968,1892,1816,22,19,1892,59,677,291300,27,774,654,"CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",10.4281569081228,33.798,1.11561866125761,1.11561866125761,1.11561866125761,95.9830866807611,1.16279069767442,1.00422832980972,3.1183932346723,1,0,0,0,6.51767127291227,6.77,12.5821089429475,291.3,84.4961240310078
37,109,"37109070902","Census Tract 709.02, Lincoln County, North Carolina",6616,27967,3176,101,98,2977,6616,5655,273,68,6616,480,641,152500,25,2520,2096,"CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",10.2387805226673,27.967,3.18010075566751,3.18010075566751,3.18010075566751,85.4746070133011,4.12636033857316,1.02781136638452,7.25513905683192,1,0,0,0,6.46302945692067,6.41,11.9349198750296,152.5,83.1746031746032
37,109,"37109070800","Census Tract 708, Lincoln County, North Carolina",6257,21281,2738,252,139,2347,6257,4508,849,0,6257,709,612,113700,30,2558,1714,"CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",9.96556993483267,21.281,9.20379839298758,9.20379839298758,9.20379839298758,72.0473070161419,13.5688029407064,0,11.3313089339939,1,0,0,0,6.41673228251233,6.12,11.6413186797386,113.7,67.0054730258014
37,109,"37109071101","Census Tract 711.01, Lincoln County, North Carolina",5691,30849,2839,50,89,2700,5691,5410,97,124,5691,287,823,221800,22,2295,1583,"CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",10.3368596138973,30.849,1.7611835153223,1.7611835153223,1.7611835153223,95.0623791952205,1.70444561588473,2.17887893164646,5.04305043050431,1,0,0,0,6.71295620067707,8.23,12.3095313538984,221.8,68.9760348583878
37,119,"37119004304","Census Tract 43.04, Mecklenburg County, North Carolina",3898,23819,1993,121,212,1660,3898,590,2654,337,3898,349,874,92900,49,1361,564,"CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",10.0782388604999,23.819,6.07124937280482,6.07124937280482,6.07124937280482,15.1359671626475,68.0861980502822,8.64545920985121,8.95330938943048,0,1,0,0,6.77308037565554,8.74,11.4392789248019,92.9,41.4401175606172
37,119,"37119005612","Census Tract 56.12, Mecklenburg County, North Carolina",4557,28522,2478,142,190,2146,4557,1335,2203,500,4557,669,1148,142900,19,1675,1264,"CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",10.2584309982967,28.522,5.73042776432607,5.73042776432607,5.73042776432607,29.2955892034233,48.3432082510424,10.972130787799,14.680710994075,0,1,0,0,7.04577657687951,11.48,11.869900363918,142.9,75.4626865671642
37,119,"37119006215","Census Tract 62.15, Mecklenburg County, North Carolina",4559,31875,2390,74,133,2183,4559,3358,785,36,4559,883,992,173800,18,1703,1287,"CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",10.3695772824607,31.875,3.09623430962343,3.09623430962343,3.09623430962343,73.6565036192147,17.2186883088397,0.789646852379908,19.3682825180961,1,0,0,0,6.89972310728487,9.92,12.0656604918134,173.8,75.5725190839695
37,119,"37119006302","Census Tract 63.02, Mecklenburg County, North Carolina",7742,35544,3963,49,222,3692,7742,5554,1483,278,7742,637,1180,272700,16,2610,2180,"CHARLOTTE-GASTONIA-ROCK HILL, NC-SC",10.4785266446157,35.544,1.23643704264446,1.23643704264446,1.23643704264446,71.7385688452596,19.1552570395247,3.59080340997158,8.22784810126582,1,0,0,0,7.07326971745971,11.8,12.5161275688337,272.7,83.5249042145594
